seed-> 2647
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=2647, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='50.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=200, train_on_last_scale=0, training_name='', tx='19:13:36')
alpha:20
scale 0:[0/1000], errG: -0.009320 ,output.mean(): 0.009320, rec_loss:0.000197
scale 0:[25/1000], errG: -0.031012 ,output.mean(): 0.031012, rec_loss:0.000509
scale 0:[50/1000], errG: -0.005713 ,output.mean(): 0.005713, rec_loss:0.003179
scale 0:[75/1000], errG: 0.000004 ,output.mean(): -0.000004, rec_loss:0.001735
scale 0:[100/1000], errG: -0.029551 ,output.mean(): 0.029551, rec_loss:0.001131
scale 0:[125/1000], errG: 0.025793 ,output.mean(): -0.025793, rec_loss:0.001380
scale 0:[150/1000], errG: 0.013438 ,output.mean(): -0.013438, rec_loss:0.000359
scale 0:[175/1000], errG: -0.001171 ,output.mean(): 0.001171, rec_loss:0.002125
scale 0:[200/1000], errG: -0.013773 ,output.mean(): 0.013773, rec_loss:0.004068
scale 0:[225/1000], errG: 0.041305 ,output.mean(): -0.041305, rec_loss:0.001606
scale 0:[250/1000], errG: -0.029626 ,output.mean(): 0.029626, rec_loss:0.001200
scale 0:[275/1000], errG: -0.005355 ,output.mean(): 0.005355, rec_loss:0.001168
scale 0:[300/1000], errG: 0.027903 ,output.mean(): -0.027903, rec_loss:0.001668
scale 0:[325/1000], errG: 0.052731 ,output.mean(): -0.052731, rec_loss:0.000976
scale 0:[350/1000], errG: 0.077542 ,output.mean(): -0.077542, rec_loss:0.000661
scale 0:[375/1000], errG: 0.065564 ,output.mean(): -0.065564, rec_loss:0.000946
scale 0:[400/1000], errG: 0.038105 ,output.mean(): -0.038105, rec_loss:0.001026
scale 0:[425/1000], errG: 0.091150 ,output.mean(): -0.091150, rec_loss:0.001200
scale 0:[450/1000], errG: 0.127865 ,output.mean(): -0.127865, rec_loss:0.000500
scale 0:[475/1000], errG: 0.165407 ,output.mean(): -0.165407, rec_loss:0.001102
