seed-> 798
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/compare', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=798, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='lr_noisy_0.1.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='21:39:07')
alpha:20
scale 0:[0/1000], errG: 0.091202 ,output.mean(): -0.091202, rec_loss:4.960140
scale 0:[25/1000], errG: 0.057122 ,output.mean(): -0.057122, rec_loss:0.105966
scale 0:[50/1000], errG: 0.019787 ,output.mean(): -0.019787, rec_loss:0.078573
scale 0:[75/1000], errG: 0.022861 ,output.mean(): -0.022861, rec_loss:0.092687
scale 0:[100/1000], errG: 0.102487 ,output.mean(): -0.102487, rec_loss:0.077996
scale 0:[125/1000], errG: 0.078103 ,output.mean(): -0.078103, rec_loss:0.075916
scale 0:[150/1000], errG: 0.111865 ,output.mean(): -0.111865, rec_loss:0.080269
scale 0:[175/1000], errG: 0.111090 ,output.mean(): -0.111090, rec_loss:0.082443
scale 0:[200/1000], errG: 0.260116 ,output.mean(): -0.260116, rec_loss:0.077128
scale 0:[225/1000], errG: 0.107229 ,output.mean(): -0.107229, rec_loss:0.095615
scale 0:[250/1000], errG: 0.185577 ,output.mean(): -0.185577, rec_loss:0.080000
scale 0:[275/1000], errG: 0.226076 ,output.mean(): -0.226076, rec_loss:0.079731
scale 0:[300/1000], errG: 0.254958 ,output.mean(): -0.254958, rec_loss:0.074615
scale 0:[325/1000], errG: 0.336888 ,output.mean(): -0.336888, rec_loss:0.083427
scale 0:[350/1000], errG: 0.278843 ,output.mean(): -0.278843, rec_loss:0.082027
scale 0:[375/1000], errG: 0.287211 ,output.mean(): -0.287211, rec_loss:0.071140
scale 0:[400/1000], errG: 0.257049 ,output.mean(): -0.257049, rec_loss:0.076673
scale 0:[425/1000], errG: 0.352048 ,output.mean(): -0.352048, rec_loss:0.076495
scale 0:[450/1000], errG: 0.328904 ,output.mean(): -0.328904, rec_loss:0.083965
scale 0:[475/1000], errG: 0.376074 ,output.mean(): -0.376074, rec_loss:0.072883
scale 0:[500/1000], errG: 0.195121 ,output.mean(): -0.195121, rec_loss:0.084942
scale 0:[525/1000], errG: 0.382044 ,output.mean(): -0.382044, rec_loss:0.073593
scale 0:[550/1000], errG: 0.360591 ,output.mean(): -0.360591, rec_loss:0.076890
scale 0:[575/1000], errG: 0.372426 ,output.mean(): -0.372426, rec_loss:0.076787
scale 0:[600/1000], errG: 0.334729 ,output.mean(): -0.334729, rec_loss:0.074335
scale 0:[625/1000], errG: 0.279954 ,output.mean(): -0.279954, rec_loss:0.080292
scale 0:[650/1000], errG: 0.417430 ,output.mean(): -0.417430, rec_loss:0.076417
scale 0:[675/1000], errG: 0.374922 ,output.mean(): -0.374922, rec_loss:0.086702
scale 0:[700/1000], errG: 0.356236 ,output.mean(): -0.356236, rec_loss:0.073506
scale 0:[725/1000], errG: 0.408614 ,output.mean(): -0.408614, rec_loss:0.081237
scale 0:[750/1000], errG: 0.381004 ,output.mean(): -0.381004, rec_loss:0.064210
scale 0:[775/1000], errG: 0.368664 ,output.mean(): -0.368664, rec_loss:0.068258
scale 0:[800/1000], errG: 0.459798 ,output.mean(): -0.459798, rec_loss:0.068273
scale 0:[825/1000], errG: 0.376112 ,output.mean(): -0.376112, rec_loss:0.073948
scale 0:[850/1000], errG: 0.419154 ,output.mean(): -0.419154, rec_loss:0.082175
scale 0:[875/1000], errG: 0.314075 ,output.mean(): -0.314075, rec_loss:0.070245
scale 0:[900/1000], errG: 0.423273 ,output.mean(): -0.423273, rec_loss:0.074177
scale 0:[925/1000], errG: 0.481614 ,output.mean(): -0.481614, rec_loss:0.074231
scale 0:[950/1000], errG: 0.456861 ,output.mean(): -0.456861, rec_loss:0.077971
scale 0:[975/1000], errG: 0.471025 ,output.mean(): -0.471025, rec_loss:0.079799
scale 0:[999/1000], errG: 0.462280 ,output.mean(): -0.462280, rec_loss:0.070928
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: 0.409146 ,output.mean(): -0.409146, rec_loss:3.562769
scale 1:[25/1000], errG: 0.451385 ,output.mean(): -0.451385, rec_loss:0.100618
scale 1:[50/1000], errG: 0.367571 ,output.mean(): -0.367571, rec_loss:0.073279
scale 1:[75/1000], errG: 0.222270 ,output.mean(): -0.222270, rec_loss:0.063790
scale 1:[100/1000], errG: 0.054343 ,output.mean(): -0.054343, rec_loss:0.064344
scale 1:[125/1000], errG: 0.074441 ,output.mean(): -0.074441, rec_loss:0.055796
scale 1:[150/1000], errG: -0.035124 ,output.mean(): 0.035124, rec_loss:0.046050
scale 1:[175/1000], errG: -0.063959 ,output.mean(): 0.063959, rec_loss:0.036387
scale 1:[200/1000], errG: -0.152483 ,output.mean(): 0.152483, rec_loss:0.032397
scale 1:[225/1000], errG: -0.185859 ,output.mean(): 0.185859, rec_loss:0.023262
scale 1:[250/1000], errG: -0.263137 ,output.mean(): 0.263137, rec_loss:0.026890
scale 1:[275/1000], errG: -0.278770 ,output.mean(): 0.278770, rec_loss:0.020395
scale 1:[300/1000], errG: -0.364623 ,output.mean(): 0.364623, rec_loss:0.016834
scale 1:[325/1000], errG: -0.346184 ,output.mean(): 0.346184, rec_loss:0.014295
scale 1:[350/1000], errG: -0.365477 ,output.mean(): 0.365477, rec_loss:0.015977
scale 1:[375/1000], errG: -0.368893 ,output.mean(): 0.368893, rec_loss:0.014154
scale 1:[400/1000], errG: -0.375987 ,output.mean(): 0.375987, rec_loss:0.008088
scale 1:[425/1000], errG: -0.407267 ,output.mean(): 0.407267, rec_loss:0.011168
scale 1:[450/1000], errG: -0.474237 ,output.mean(): 0.474237, rec_loss:0.007317
scale 1:[475/1000], errG: -0.475841 ,output.mean(): 0.475841, rec_loss:0.010039
scale 1:[500/1000], errG: -0.558780 ,output.mean(): 0.558780, rec_loss:0.006504
scale 1:[525/1000], errG: -0.530510 ,output.mean(): 0.530510, rec_loss:0.005813
scale 1:[550/1000], errG: -0.511992 ,output.mean(): 0.511992, rec_loss:0.006513
scale 1:[575/1000], errG: -0.542034 ,output.mean(): 0.542034, rec_loss:0.005724
scale 1:[600/1000], errG: -0.550549 ,output.mean(): 0.550549, rec_loss:0.005600
scale 1:[625/1000], errG: -0.563039 ,output.mean(): 0.563039, rec_loss:0.005074
scale 1:[650/1000], errG: -0.569894 ,output.mean(): 0.569894, rec_loss:0.003720
scale 1:[675/1000], errG: -0.537197 ,output.mean(): 0.537197, rec_loss:0.004409
scale 1:[700/1000], errG: -0.562803 ,output.mean(): 0.562803, rec_loss:0.004410
scale 1:[725/1000], errG: -0.598447 ,output.mean(): 0.598447, rec_loss:0.007941
scale 1:[750/1000], errG: -0.644951 ,output.mean(): 0.644951, rec_loss:0.004987
scale 1:[775/1000], errG: -0.558842 ,output.mean(): 0.558842, rec_loss:0.003220
scale 1:[800/1000], errG: -0.572815 ,output.mean(): 0.572815, rec_loss:0.003152
scale 1:[825/1000], errG: -0.611730 ,output.mean(): 0.611730, rec_loss:0.003541
scale 1:[850/1000], errG: -0.629252 ,output.mean(): 0.629252, rec_loss:0.003100
scale 1:[875/1000], errG: -0.611163 ,output.mean(): 0.611163, rec_loss:0.003385
scale 1:[900/1000], errG: -0.567965 ,output.mean(): 0.567965, rec_loss:0.002734
scale 1:[925/1000], errG: -0.698905 ,output.mean(): 0.698905, rec_loss:0.002813
scale 1:[950/1000], errG: -0.560449 ,output.mean(): 0.560449, rec_loss:0.002958
scale 1:[975/1000], errG: -0.578244 ,output.mean(): 0.578244, rec_loss:0.002194
scale 1:[999/1000], errG: -0.640348 ,output.mean(): 0.640348, rec_loss:0.002632
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: -0.523124 ,output.mean(): 0.523124, rec_loss:0.143055
scale 2:[25/1000], errG: -0.630069 ,output.mean(): 0.630069, rec_loss:0.026737
scale 2:[50/1000], errG: -0.681847 ,output.mean(): 0.681847, rec_loss:0.014308
scale 2:[75/1000], errG: -0.729086 ,output.mean(): 0.729086, rec_loss:0.010582
scale 2:[100/1000], errG: -0.746391 ,output.mean(): 0.746391, rec_loss:0.007272
scale 2:[125/1000], errG: -0.861722 ,output.mean(): 0.861722, rec_loss:0.006505
scale 2:[150/1000], errG: -0.920040 ,output.mean(): 0.920040, rec_loss:0.005005
scale 2:[175/1000], errG: -0.928726 ,output.mean(): 0.928726, rec_loss:0.003844
scale 2:[200/1000], errG: -0.989137 ,output.mean(): 0.989137, rec_loss:0.003153
scale 2:[225/1000], errG: -1.024364 ,output.mean(): 1.024364, rec_loss:0.003862
scale 2:[250/1000], errG: -1.042332 ,output.mean(): 1.042332, rec_loss:0.003525
scale 2:[275/1000], errG: -1.050944 ,output.mean(): 1.050944, rec_loss:0.002856
scale 2:[300/1000], errG: -1.020296 ,output.mean(): 1.020296, rec_loss:0.002225
scale 2:[325/1000], errG: -0.985443 ,output.mean(): 0.985443, rec_loss:0.001990
scale 2:[350/1000], errG: -1.080605 ,output.mean(): 1.080605, rec_loss:0.002482
scale 2:[375/1000], errG: -1.094637 ,output.mean(): 1.094637, rec_loss:0.001909
scale 2:[400/1000], errG: -1.116928 ,output.mean(): 1.116928, rec_loss:0.002115
scale 2:[425/1000], errG: -1.106678 ,output.mean(): 1.106678, rec_loss:0.001990
scale 2:[450/1000], errG: -1.106627 ,output.mean(): 1.106627, rec_loss:0.001821
scale 2:[475/1000], errG: -1.128431 ,output.mean(): 1.128431, rec_loss:0.001614
scale 2:[500/1000], errG: -1.104138 ,output.mean(): 1.104138, rec_loss:0.001691
scale 2:[525/1000], errG: -1.074628 ,output.mean(): 1.074628, rec_loss:0.001651
scale 2:[550/1000], errG: -1.065738 ,output.mean(): 1.065738, rec_loss:0.001496
scale 2:[575/1000], errG: -1.085662 ,output.mean(): 1.085662, rec_loss:0.001892
scale 2:[600/1000], errG: -1.087447 ,output.mean(): 1.087447, rec_loss:0.001397
