seed-> 2926
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=2926, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='180_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='19:26:38')
alpha:20
scale 0:[0/1000], errG: 0.084832 ,output.mean(): -0.084832, rec_loss:4.961812
scale 0:[25/1000], errG: 0.050623 ,output.mean(): -0.050623, rec_loss:0.093112
scale 0:[50/1000], errG: 0.078604 ,output.mean(): -0.078604, rec_loss:0.074765
scale 0:[75/1000], errG: 0.091238 ,output.mean(): -0.091238, rec_loss:0.076611
scale 0:[100/1000], errG: 0.084031 ,output.mean(): -0.084031, rec_loss:0.074552
scale 0:[125/1000], errG: 0.083751 ,output.mean(): -0.083751, rec_loss:0.070048
scale 0:[150/1000], errG: 0.127004 ,output.mean(): -0.127004, rec_loss:0.077781
scale 0:[175/1000], errG: 0.120658 ,output.mean(): -0.120658, rec_loss:0.069336
scale 0:[200/1000], errG: 0.121111 ,output.mean(): -0.121111, rec_loss:0.070931
scale 0:[225/1000], errG: 0.137703 ,output.mean(): -0.137703, rec_loss:0.070836
scale 0:[250/1000], errG: 0.145429 ,output.mean(): -0.145429, rec_loss:0.065543
scale 0:[275/1000], errG: 0.155282 ,output.mean(): -0.155282, rec_loss:0.068297
scale 0:[300/1000], errG: 0.148732 ,output.mean(): -0.148732, rec_loss:0.068069
scale 0:[325/1000], errG: 0.150366 ,output.mean(): -0.150366, rec_loss:0.071425
scale 0:[350/1000], errG: 0.207928 ,output.mean(): -0.207928, rec_loss:0.073583
scale 0:[375/1000], errG: 0.146493 ,output.mean(): -0.146493, rec_loss:0.067309
