seed-> 7741
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=7741, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='125_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='22:30:01')
alpha:20
scale 0:[0/1000], errG: 0.059626 ,output.mean(): -0.059626, rec_loss:6.671086
scale 0:[25/1000], errG: 0.016344 ,output.mean(): -0.016344, rec_loss:0.118861
scale 0:[50/1000], errG: 0.032937 ,output.mean(): -0.032937, rec_loss:0.099968
scale 0:[75/1000], errG: 0.003386 ,output.mean(): -0.003386, rec_loss:0.104490
scale 0:[100/1000], errG: 0.019572 ,output.mean(): -0.019572, rec_loss:0.097739
scale 0:[125/1000], errG: 0.157819 ,output.mean(): -0.157819, rec_loss:0.094783
scale 0:[150/1000], errG: 0.104576 ,output.mean(): -0.104576, rec_loss:0.095584
scale 0:[175/1000], errG: 0.027029 ,output.mean(): -0.027029, rec_loss:0.100992
scale 0:[200/1000], errG: 0.030608 ,output.mean(): -0.030608, rec_loss:0.099356
scale 0:[225/1000], errG: 0.073000 ,output.mean(): -0.073000, rec_loss:0.102264
scale 0:[250/1000], errG: 0.144135 ,output.mean(): -0.144135, rec_loss:0.098036
scale 0:[275/1000], errG: 0.125705 ,output.mean(): -0.125705, rec_loss:0.098091
scale 0:[300/1000], errG: 0.107428 ,output.mean(): -0.107428, rec_loss:0.101333
scale 0:[325/1000], errG: 0.091518 ,output.mean(): -0.091518, rec_loss:0.100131
scale 0:[350/1000], errG: 0.134226 ,output.mean(): -0.134226, rec_loss:0.093056
scale 0:[375/1000], errG: 0.088142 ,output.mean(): -0.088142, rec_loss:0.112797
scale 0:[400/1000], errG: 0.136791 ,output.mean(): -0.136791, rec_loss:0.098384
scale 0:[425/1000], errG: 0.134792 ,output.mean(): -0.134792, rec_loss:0.089900
scale 0:[450/1000], errG: 0.150191 ,output.mean(): -0.150191, rec_loss:0.108688
scale 0:[475/1000], errG: 0.180891 ,output.mean(): -0.180891, rec_loss:0.095384
scale 0:[500/1000], errG: 0.179219 ,output.mean(): -0.179219, rec_loss:0.091249
scale 0:[525/1000], errG: 0.109887 ,output.mean(): -0.109887, rec_loss:0.100708
scale 0:[550/1000], errG: 0.190368 ,output.mean(): -0.190368, rec_loss:0.109194
scale 0:[575/1000], errG: 0.189178 ,output.mean(): -0.189178, rec_loss:0.102782
scale 0:[600/1000], errG: 0.160132 ,output.mean(): -0.160132, rec_loss:0.090042
scale 0:[625/1000], errG: 0.213721 ,output.mean(): -0.213721, rec_loss:0.092635
scale 0:[650/1000], errG: 0.169742 ,output.mean(): -0.169742, rec_loss:0.100599
scale 0:[675/1000], errG: 0.292094 ,output.mean(): -0.292094, rec_loss:0.088996
scale 0:[700/1000], errG: 0.198096 ,output.mean(): -0.198096, rec_loss:0.088789
scale 0:[725/1000], errG: 0.142460 ,output.mean(): -0.142460, rec_loss:0.091002
scale 0:[750/1000], errG: 0.160644 ,output.mean(): -0.160644, rec_loss:0.090341
scale 0:[775/1000], errG: 0.143363 ,output.mean(): -0.143363, rec_loss:0.090592
scale 0:[800/1000], errG: 0.176459 ,output.mean(): -0.176459, rec_loss:0.085161
scale 0:[825/1000], errG: 0.157669 ,output.mean(): -0.157669, rec_loss:0.090514
scale 0:[850/1000], errG: 0.135389 ,output.mean(): -0.135389, rec_loss:0.092435
scale 0:[875/1000], errG: 0.116430 ,output.mean(): -0.116430, rec_loss:0.092711
scale 0:[900/1000], errG: 0.145927 ,output.mean(): -0.145927, rec_loss:0.096996
scale 0:[925/1000], errG: 0.081590 ,output.mean(): -0.081590, rec_loss:0.104454
scale 0:[950/1000], errG: 0.112575 ,output.mean(): -0.112575, rec_loss:0.082255
scale 0:[975/1000], errG: 0.079709 ,output.mean(): -0.079709, rec_loss:0.094869
scale 0:[999/1000], errG: 0.111240 ,output.mean(): -0.111240, rec_loss:0.089016
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: 0.235423 ,output.mean(): -0.235423, rec_loss:6.879709
scale 1:[25/1000], errG: 0.384681 ,output.mean(): -0.384681, rec_loss:0.170949
scale 1:[50/1000], errG: 0.571537 ,output.mean(): -0.571537, rec_loss:0.142697
scale 1:[75/1000], errG: 0.446440 ,output.mean(): -0.446440, rec_loss:0.120926
scale 1:[100/1000], errG: 0.338147 ,output.mean(): -0.338147, rec_loss:0.091566
scale 1:[125/1000], errG: 0.185301 ,output.mean(): -0.185301, rec_loss:0.105557
scale 1:[150/1000], errG: -0.026195 ,output.mean(): 0.026195, rec_loss:0.068390
scale 1:[175/1000], errG: -0.048234 ,output.mean(): 0.048234, rec_loss:0.057586
scale 1:[200/1000], errG: -0.106967 ,output.mean(): 0.106967, rec_loss:0.046978
scale 1:[225/1000], errG: -0.168713 ,output.mean(): 0.168713, rec_loss:0.046794
scale 1:[250/1000], errG: -0.335379 ,output.mean(): 0.335379, rec_loss:0.040095
scale 1:[275/1000], errG: -0.359490 ,output.mean(): 0.359490, rec_loss:0.028988
scale 1:[300/1000], errG: -0.399149 ,output.mean(): 0.399149, rec_loss:0.018408
scale 1:[325/1000], errG: -0.295445 ,output.mean(): 0.295445, rec_loss:0.033204
scale 1:[350/1000], errG: -0.417968 ,output.mean(): 0.417968, rec_loss:0.016436
scale 1:[375/1000], errG: -0.488004 ,output.mean(): 0.488004, rec_loss:0.019985
scale 1:[400/1000], errG: -0.467864 ,output.mean(): 0.467864, rec_loss:0.019634
scale 1:[425/1000], errG: -0.658922 ,output.mean(): 0.658922, rec_loss:0.018857
scale 1:[450/1000], errG: -0.512262 ,output.mean(): 0.512262, rec_loss:0.010520
scale 1:[475/1000], errG: -0.496883 ,output.mean(): 0.496883, rec_loss:0.016444
scale 1:[500/1000], errG: -0.503318 ,output.mean(): 0.503318, rec_loss:0.011254
scale 1:[525/1000], errG: -0.565805 ,output.mean(): 0.565805, rec_loss:0.009578
scale 1:[550/1000], errG: -0.536517 ,output.mean(): 0.536517, rec_loss:0.010365
scale 1:[575/1000], errG: -0.509463 ,output.mean(): 0.509463, rec_loss:0.010013
scale 1:[600/1000], errG: -0.439568 ,output.mean(): 0.439568, rec_loss:0.012157
scale 1:[625/1000], errG: -0.439392 ,output.mean(): 0.439392, rec_loss:0.008147
scale 1:[650/1000], errG: -0.568099 ,output.mean(): 0.568099, rec_loss:0.007854
scale 1:[675/1000], errG: -0.433444 ,output.mean(): 0.433444, rec_loss:0.007944
scale 1:[700/1000], errG: -0.495497 ,output.mean(): 0.495497, rec_loss:0.006686
scale 1:[725/1000], errG: -0.385199 ,output.mean(): 0.385199, rec_loss:0.010879
scale 1:[750/1000], errG: -0.448037 ,output.mean(): 0.448037, rec_loss:0.006610
scale 1:[775/1000], errG: -0.395091 ,output.mean(): 0.395091, rec_loss:0.007271
scale 1:[800/1000], errG: -0.365466 ,output.mean(): 0.365466, rec_loss:0.006765
scale 1:[825/1000], errG: -0.492899 ,output.mean(): 0.492899, rec_loss:0.007210
scale 1:[850/1000], errG: -0.434201 ,output.mean(): 0.434201, rec_loss:0.007552
