seed-> 3972
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3972, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='21:08:20')
alpha:20
scale 0:[0/1000], errG: 0.156950 ,output.mean(): -0.156950, rec_loss:6.693993
scale 0:[25/1000], errG: 0.166882 ,output.mean(): -0.166882, rec_loss:0.080860
scale 0:[50/1000], errG: 0.091618 ,output.mean(): -0.091618, rec_loss:0.077909
scale 0:[75/1000], errG: 0.243706 ,output.mean(): -0.243706, rec_loss:0.065650
scale 0:[100/1000], errG: 0.195395 ,output.mean(): -0.195395, rec_loss:0.073089
scale 0:[125/1000], errG: 0.252558 ,output.mean(): -0.252558, rec_loss:0.064594
scale 0:[150/1000], errG: 0.209866 ,output.mean(): -0.209866, rec_loss:0.067018
scale 0:[175/1000], errG: 0.163075 ,output.mean(): -0.163075, rec_loss:0.068482
scale 0:[200/1000], errG: 0.192120 ,output.mean(): -0.192120, rec_loss:0.062531
scale 0:[225/1000], errG: 0.253642 ,output.mean(): -0.253642, rec_loss:0.066887
scale 0:[250/1000], errG: 0.205988 ,output.mean(): -0.205988, rec_loss:0.058355
scale 0:[275/1000], errG: 0.156748 ,output.mean(): -0.156748, rec_loss:0.070052
scale 0:[300/1000], errG: 0.187790 ,output.mean(): -0.187790, rec_loss:0.069314
scale 0:[325/1000], errG: 0.174384 ,output.mean(): -0.174384, rec_loss:0.059902
scale 0:[350/1000], errG: 0.210233 ,output.mean(): -0.210233, rec_loss:0.060859
scale 0:[375/1000], errG: 0.195462 ,output.mean(): -0.195462, rec_loss:0.052318
scale 0:[400/1000], errG: 0.159196 ,output.mean(): -0.159196, rec_loss:0.057787
scale 0:[425/1000], errG: 0.203537 ,output.mean(): -0.203537, rec_loss:0.057160
scale 0:[450/1000], errG: 0.167313 ,output.mean(): -0.167313, rec_loss:0.050014
scale 0:[475/1000], errG: 0.175305 ,output.mean(): -0.175305, rec_loss:0.055222
scale 0:[500/1000], errG: 0.195200 ,output.mean(): -0.195200, rec_loss:0.070040
scale 0:[525/1000], errG: 0.142984 ,output.mean(): -0.142984, rec_loss:0.058390
scale 0:[550/1000], errG: 0.114509 ,output.mean(): -0.114509, rec_loss:0.065374
scale 0:[575/1000], errG: 0.186121 ,output.mean(): -0.186121, rec_loss:0.050082
scale 0:[600/1000], errG: 0.217711 ,output.mean(): -0.217711, rec_loss:0.057016
scale 0:[625/1000], errG: 0.163597 ,output.mean(): -0.163597, rec_loss:0.062229
scale 0:[650/1000], errG: 0.137395 ,output.mean(): -0.137395, rec_loss:0.051147
scale 0:[675/1000], errG: 0.163895 ,output.mean(): -0.163895, rec_loss:0.053133
scale 0:[700/1000], errG: 0.082395 ,output.mean(): -0.082395, rec_loss:0.050915
scale 0:[725/1000], errG: 0.197069 ,output.mean(): -0.197069, rec_loss:0.050038
scale 0:[750/1000], errG: 0.156695 ,output.mean(): -0.156695, rec_loss:0.053105
scale 0:[775/1000], errG: 0.153584 ,output.mean(): -0.153584, rec_loss:0.048757
scale 0:[800/1000], errG: 0.066160 ,output.mean(): -0.066160, rec_loss:0.055872
scale 0:[825/1000], errG: 0.190736 ,output.mean(): -0.190736, rec_loss:0.055589
scale 0:[850/1000], errG: 0.153921 ,output.mean(): -0.153921, rec_loss:0.056823
scale 0:[875/1000], errG: 0.134648 ,output.mean(): -0.134648, rec_loss:0.053242
scale 0:[900/1000], errG: 0.176449 ,output.mean(): -0.176449, rec_loss:0.049035
