Namespace(Dsteps=3, Gsteps=3, alpha=50, beta1=0.5, device=device(type='cuda', index=0), gamma=0.1, input_dir='./Input/customSR', input_name='clean.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3484, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/clean/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, sr_factor=2.0, stride=1)
alpha:50
scale 0:[0/1000], errG: 0.591853 ,output.mean(): -2.801536, rec_loss:9.658631
scale 0:[25/1000], errG: 0.738008 ,output.mean(): -2.947691, rec_loss:1.482244
scale 0:[50/1000], errG: 0.546110 ,output.mean(): -2.755793, rec_loss:1.507359
scale 0:[75/1000], errG: 0.483716 ,output.mean(): -2.693399, rec_loss:1.586531
scale 0:[100/1000], errG: 0.535259 ,output.mean(): -2.744942, rec_loss:1.623684
scale 0:[125/1000], errG: 0.512050 ,output.mean(): -2.721733, rec_loss:1.524102
scale 0:[150/1000], errG: 0.491990 ,output.mean(): -2.701673, rec_loss:1.689218
scale 0:[175/1000], errG: 0.427437 ,output.mean(): -2.637120, rec_loss:1.668266
scale 0:[200/1000], errG: 0.450692 ,output.mean(): -2.660375, rec_loss:1.673658
scale 0:[225/1000], errG: 0.426600 ,output.mean(): -2.636282, rec_loss:1.628930
scale 0:[250/1000], errG: 0.419457 ,output.mean(): -2.629140, rec_loss:1.678819
scale 0:[275/1000], errG: 0.409539 ,output.mean(): -2.619221, rec_loss:1.637119
scale 0:[300/1000], errG: 0.445484 ,output.mean(): -2.655167, rec_loss:1.631930
scale 0:[325/1000], errG: 0.411057 ,output.mean(): -2.620739, rec_loss:1.630497
scale 0:[350/1000], errG: 0.324481 ,output.mean(): -2.534164, rec_loss:1.666057
scale 0:[375/1000], errG: 0.363256 ,output.mean(): -2.572938, rec_loss:1.654739
scale 0:[400/1000], errG: 0.344250 ,output.mean(): -2.553933, rec_loss:1.666698
scale 0:[425/1000], errG: 0.255984 ,output.mean(): -2.465667, rec_loss:1.665204
scale 0:[450/1000], errG: 0.331789 ,output.mean(): -2.541472, rec_loss:1.700073
scale 0:[475/1000], errG: 0.333202 ,output.mean(): -2.542885, rec_loss:1.644452
scale 0:[500/1000], errG: 0.303398 ,output.mean(): -2.513081, rec_loss:1.662317
scale 0:[525/1000], errG: 0.272486 ,output.mean(): -2.482169, rec_loss:1.677392
scale 0:[550/1000], errG: 0.332904 ,output.mean(): -2.542587, rec_loss:1.647459
scale 0:[575/1000], errG: 0.235644 ,output.mean(): -2.445327, rec_loss:1.671655
scale 0:[600/1000], errG: 0.271152 ,output.mean(): -2.480835, rec_loss:1.682449
scale 0:[625/1000], errG: 0.301930 ,output.mean(): -2.511613, rec_loss:1.680211
scale 0:[650/1000], errG: 0.230477 ,output.mean(): -2.440160, rec_loss:1.655732
scale 0:[675/1000], errG: 0.306969 ,output.mean(): -2.516652, rec_loss:1.661566
scale 0:[700/1000], errG: 0.233277 ,output.mean(): -2.442960, rec_loss:1.668323
scale 0:[725/1000], errG: 0.202241 ,output.mean(): -2.411924, rec_loss:1.692977
scale 0:[750/1000], errG: 0.249378 ,output.mean(): -2.459061, rec_loss:1.697770
scale 0:[775/1000], errG: 0.246967 ,output.mean(): -2.456650, rec_loss:1.706311
scale 0:[800/1000], errG: 0.208889 ,output.mean(): -2.418572, rec_loss:1.652231
scale 0:[825/1000], errG: 0.187225 ,output.mean(): -2.396908, rec_loss:1.699195
scale 0:[850/1000], errG: 0.242746 ,output.mean(): -2.452429, rec_loss:1.660700
scale 0:[875/1000], errG: 0.137307 ,output.mean(): -2.346990, rec_loss:1.659162
scale 0:[900/1000], errG: 0.191802 ,output.mean(): -2.401484, rec_loss:1.680704
scale 0:[925/1000], errG: 0.314155 ,output.mean(): -2.523838, rec_loss:1.752258
