seed-> 9449
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9449, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='201_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='16:20:34')
alpha:20
scale 0:[0/1000], errG: -0.094941 ,output.mean(): 0.094941, rec_loss:8.445637
scale 0:[25/1000], errG: -0.040129 ,output.mean(): 0.040129, rec_loss:0.097859
scale 0:[50/1000], errG: -0.057585 ,output.mean(): 0.057585, rec_loss:0.079101
scale 0:[75/1000], errG: -0.031835 ,output.mean(): 0.031835, rec_loss:0.088344
scale 0:[100/1000], errG: -0.017848 ,output.mean(): 0.017848, rec_loss:0.082388
scale 0:[125/1000], errG: -0.017177 ,output.mean(): 0.017177, rec_loss:0.084932
scale 0:[150/1000], errG: -0.021796 ,output.mean(): 0.021796, rec_loss:0.075091
scale 0:[175/1000], errG: 0.032498 ,output.mean(): -0.032498, rec_loss:0.077226
scale 0:[200/1000], errG: 0.004921 ,output.mean(): -0.004921, rec_loss:0.077333
scale 0:[225/1000], errG: -0.038538 ,output.mean(): 0.038538, rec_loss:0.080806
scale 0:[250/1000], errG: 0.026690 ,output.mean(): -0.026690, rec_loss:0.073059
scale 0:[275/1000], errG: 0.025239 ,output.mean(): -0.025239, rec_loss:0.078548
scale 0:[300/1000], errG: 0.003106 ,output.mean(): -0.003106, rec_loss:0.080100
scale 0:[325/1000], errG: 0.027694 ,output.mean(): -0.027694, rec_loss:0.081964
scale 0:[350/1000], errG: -0.000322 ,output.mean(): 0.000322, rec_loss:0.082501
scale 0:[375/1000], errG: 0.090420 ,output.mean(): -0.090420, rec_loss:0.082295
scale 0:[400/1000], errG: 0.023917 ,output.mean(): -0.023917, rec_loss:0.075770
scale 0:[425/1000], errG: -0.005511 ,output.mean(): 0.005511, rec_loss:0.080750
scale 0:[450/1000], errG: -0.024779 ,output.mean(): 0.024779, rec_loss:0.073790
scale 0:[475/1000], errG: -0.011721 ,output.mean(): 0.011721, rec_loss:0.080478
scale 0:[500/1000], errG: -0.002086 ,output.mean(): 0.002086, rec_loss:0.079620
scale 0:[525/1000], errG: 0.005967 ,output.mean(): -0.005967, rec_loss:0.084593
scale 0:[550/1000], errG: -0.005783 ,output.mean(): 0.005783, rec_loss:0.078083
scale 0:[575/1000], errG: -0.033149 ,output.mean(): 0.033149, rec_loss:0.081551
scale 0:[600/1000], errG: 0.013340 ,output.mean(): -0.013340, rec_loss:0.079227
scale 0:[625/1000], errG: 0.004485 ,output.mean(): -0.004485, rec_loss:0.076822
scale 0:[650/1000], errG: 0.013642 ,output.mean(): -0.013642, rec_loss:0.079941
scale 0:[675/1000], errG: 0.053657 ,output.mean(): -0.053657, rec_loss:0.073836
scale 0:[700/1000], errG: 0.033259 ,output.mean(): -0.033259, rec_loss:0.076831
scale 0:[725/1000], errG: -0.034299 ,output.mean(): 0.034299, rec_loss:0.080849
scale 0:[750/1000], errG: 0.002692 ,output.mean(): -0.002692, rec_loss:0.078304
scale 0:[775/1000], errG: -0.029143 ,output.mean(): 0.029143, rec_loss:0.077865
scale 0:[800/1000], errG: 0.030995 ,output.mean(): -0.030995, rec_loss:0.076141
scale 0:[825/1000], errG: 0.040843 ,output.mean(): -0.040843, rec_loss:0.079076
