Namespace(Dsteps=3, Gsteps=3, alpha=5, beta1=0.5, device=device(type='cuda', index=0), gamma=0.1, input_dir='./Input/customSR', input_name='clean.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=7794, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/clean/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, sr_factor=2.0, stride=1)
alpha:5
scale 0:[0/1000], errG: 1.105650 ,output.mean(): -0.583229, rec_loss:0.864627
scale 0:[25/1000], errG: 1.117213 ,output.mean(): -0.594792, rec_loss:0.235282
scale 0:[50/1000], errG: 1.223594 ,output.mean(): -0.701173, rec_loss:0.220354
scale 0:[75/1000], errG: 1.108387 ,output.mean(): -0.585966, rec_loss:0.211876
scale 0:[100/1000], errG: 0.983538 ,output.mean(): -0.461117, rec_loss:0.200745
scale 0:[125/1000], errG: 1.219801 ,output.mean(): -0.697380, rec_loss:0.218810
scale 0:[150/1000], errG: 1.053085 ,output.mean(): -0.530664, rec_loss:0.229731
scale 0:[175/1000], errG: 0.971780 ,output.mean(): -0.449359, rec_loss:0.225953
scale 0:[200/1000], errG: 0.998249 ,output.mean(): -0.475828, rec_loss:0.209092
scale 0:[225/1000], errG: 0.942803 ,output.mean(): -0.420382, rec_loss:0.217425
scale 0:[250/1000], errG: 0.976806 ,output.mean(): -0.454385, rec_loss:0.246976
scale 0:[275/1000], errG: 0.968549 ,output.mean(): -0.446128, rec_loss:0.228639
scale 0:[300/1000], errG: 0.938141 ,output.mean(): -0.415720, rec_loss:0.221318
scale 0:[325/1000], errG: 0.912694 ,output.mean(): -0.390273, rec_loss:0.232076
scale 0:[350/1000], errG: 0.898800 ,output.mean(): -0.376379, rec_loss:0.231020
scale 0:[375/1000], errG: 0.838821 ,output.mean(): -0.316400, rec_loss:0.232436
scale 0:[400/1000], errG: 0.899610 ,output.mean(): -0.377189, rec_loss:0.214237
scale 0:[425/1000], errG: 0.876652 ,output.mean(): -0.354231, rec_loss:0.226707
scale 0:[450/1000], errG: 0.892077 ,output.mean(): -0.369656, rec_loss:0.239407
scale 0:[475/1000], errG: 0.901355 ,output.mean(): -0.378934, rec_loss:0.232528
scale 0:[500/1000], errG: 0.915448 ,output.mean(): -0.393027, rec_loss:0.226803
scale 0:[525/1000], errG: 0.756373 ,output.mean(): -0.233952, rec_loss:0.231643
scale 0:[550/1000], errG: 0.768123 ,output.mean(): -0.245702, rec_loss:0.261761
scale 0:[575/1000], errG: 0.695907 ,output.mean(): -0.173486, rec_loss:0.240989
scale 0:[600/1000], errG: 0.580374 ,output.mean(): -0.057953, rec_loss:0.231641
scale 0:[625/1000], errG: 0.869307 ,output.mean(): -0.346886, rec_loss:0.247522
scale 0:[650/1000], errG: 0.719460 ,output.mean(): -0.197040, rec_loss:0.284805
scale 0:[675/1000], errG: 0.594864 ,output.mean(): -0.072443, rec_loss:0.249533
scale 0:[700/1000], errG: 0.618608 ,output.mean(): -0.096187, rec_loss:0.275492
scale 0:[725/1000], errG: 0.466072 ,output.mean(): 0.056349, rec_loss:0.241036
scale 0:[750/1000], errG: 0.638111 ,output.mean(): -0.115691, rec_loss:0.233357
scale 0:[775/1000], errG: 0.545347 ,output.mean(): -0.022926, rec_loss:0.224607
scale 0:[800/1000], errG: 0.674983 ,output.mean(): -0.152562, rec_loss:0.241397
scale 0:[825/1000], errG: 0.540690 ,output.mean(): -0.018269, rec_loss:0.241178
scale 0:[850/1000], errG: 0.445389 ,output.mean(): 0.077032, rec_loss:0.242466
scale 0:[875/1000], errG: 0.392379 ,output.mean(): 0.130042, rec_loss:0.220606
scale 0:[900/1000], errG: 0.508979 ,output.mean(): 0.013441, rec_loss:0.235619
scale 0:[925/1000], errG: 0.678920 ,output.mean(): -0.156500, rec_loss:0.242580
scale 0:[950/1000], errG: 0.491932 ,output.mean(): 0.030489, rec_loss:0.222510
scale 0:[975/1000], errG: 0.448917 ,output.mean(): 0.073504, rec_loss:0.231449
scale 0:[999/1000], errG: 0.415367 ,output.mean(): 0.107054, rec_loss:0.226176
Scale: 0, realD_loss: 0.522421 
alpha:5
scale 1:[0/1000], errG: 0.888150 ,output.mean(): -0.003387, rec_loss:1.757847
scale 1:[25/1000], errG: 0.349540 ,output.mean(): 0.535223, rec_loss:0.310970
scale 1:[50/1000], errG: 0.172901 ,output.mean(): 0.711862, rec_loss:0.252906
scale 1:[75/1000], errG: 0.159665 ,output.mean(): 0.725098, rec_loss:0.247145
scale 1:[100/1000], errG: 0.129230 ,output.mean(): 0.755533, rec_loss:0.249639
scale 1:[125/1000], errG: 0.121131 ,output.mean(): 0.763632, rec_loss:0.251039
scale 1:[150/1000], errG: 0.211395 ,output.mean(): 0.673368, rec_loss:0.232989
scale 1:[175/1000], errG: 0.046377 ,output.mean(): 0.838386, rec_loss:0.237308
scale 1:[200/1000], errG: 0.021563 ,output.mean(): 0.863200, rec_loss:0.229770
scale 1:[225/1000], errG: 0.050127 ,output.mean(): 0.834636, rec_loss:0.224037
scale 1:[250/1000], errG: 0.110888 ,output.mean(): 0.773875, rec_loss:0.235105
scale 1:[275/1000], errG: 0.058208 ,output.mean(): 0.826555, rec_loss:0.235760
scale 1:[300/1000], errG: 0.045058 ,output.mean(): 0.839705, rec_loss:0.236571
scale 1:[325/1000], errG: 0.072098 ,output.mean(): 0.812665, rec_loss:0.228670
scale 1:[350/1000], errG: 0.035522 ,output.mean(): 0.849241, rec_loss:0.234517
scale 1:[375/1000], errG: 0.013999 ,output.mean(): 0.870764, rec_loss:0.229912
scale 1:[400/1000], errG: 0.080170 ,output.mean(): 0.804593, rec_loss:0.227790
scale 1:[425/1000], errG: 0.028301 ,output.mean(): 0.856462, rec_loss:0.235568
scale 1:[450/1000], errG: 0.050528 ,output.mean(): 0.834235, rec_loss:0.229987
scale 1:[475/1000], errG: 0.026092 ,output.mean(): 0.858671, rec_loss:0.231052
scale 1:[500/1000], errG: 0.153595 ,output.mean(): 0.731168, rec_loss:0.216366
scale 1:[525/1000], errG: 0.015897 ,output.mean(): 0.868866, rec_loss:0.225932
scale 1:[550/1000], errG: 0.019300 ,output.mean(): 0.865463, rec_loss:0.225889
scale 1:[575/1000], errG: 0.035178 ,output.mean(): 0.849585, rec_loss:0.233765
scale 1:[600/1000], errG: 0.113497 ,output.mean(): 0.771266, rec_loss:0.219290
scale 1:[625/1000], errG: 0.004125 ,output.mean(): 0.880638, rec_loss:0.228117
scale 1:[650/1000], errG: 0.001228 ,output.mean(): 0.883535, rec_loss:0.224499
scale 1:[675/1000], errG: 0.052977 ,output.mean(): 0.831786, rec_loss:0.238254
scale 1:[700/1000], errG: 0.035642 ,output.mean(): 0.849121, rec_loss:0.225332
scale 1:[725/1000], errG: 0.018316 ,output.mean(): 0.866447, rec_loss:0.227937
