seed-> 6958
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6958, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='50.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='11:32:39')
alpha:20
scale 0:[0/1000], errG: -0.077400 ,output.mean(): 0.077400, rec_loss:0.015856
scale 0:[25/1000], errG: 0.104208 ,output.mean(): -0.104208, rec_loss:0.005408
scale 0:[50/1000], errG: 0.169664 ,output.mean(): -0.169664, rec_loss:0.011793
scale 0:[75/1000], errG: 0.168350 ,output.mean(): -0.168350, rec_loss:0.005737
scale 0:[100/1000], errG: 0.159627 ,output.mean(): -0.159627, rec_loss:0.005799
scale 0:[125/1000], errG: 0.136340 ,output.mean(): -0.136340, rec_loss:0.002169
scale 0:[150/1000], errG: 0.128153 ,output.mean(): -0.128153, rec_loss:0.006196
scale 0:[175/1000], errG: 0.151166 ,output.mean(): -0.151166, rec_loss:0.004538
scale 0:[200/1000], errG: 0.096538 ,output.mean(): -0.096538, rec_loss:0.019405
scale 0:[225/1000], errG: 0.207863 ,output.mean(): -0.207863, rec_loss:0.009969
scale 0:[250/1000], errG: 0.242541 ,output.mean(): -0.242541, rec_loss:0.007767
scale 0:[275/1000], errG: 0.107356 ,output.mean(): -0.107356, rec_loss:0.007269
scale 0:[300/1000], errG: 0.193095 ,output.mean(): -0.193095, rec_loss:0.015324
scale 0:[325/1000], errG: 0.038970 ,output.mean(): -0.038970, rec_loss:0.007059
scale 0:[350/1000], errG: 0.015741 ,output.mean(): -0.015741, rec_loss:0.004941
scale 0:[375/1000], errG: -0.015615 ,output.mean(): 0.015615, rec_loss:0.009629
scale 0:[400/1000], errG: 0.059995 ,output.mean(): -0.059995, rec_loss:0.011735
scale 0:[425/1000], errG: -0.041406 ,output.mean(): 0.041406, rec_loss:0.014999
scale 0:[450/1000], errG: -0.103562 ,output.mean(): 0.103562, rec_loss:0.006444
scale 0:[475/1000], errG: -0.105857 ,output.mean(): 0.105857, rec_loss:0.007990
scale 0:[500/1000], errG: -0.167473 ,output.mean(): 0.167473, rec_loss:0.006752
scale 0:[525/1000], errG: -0.163849 ,output.mean(): 0.163849, rec_loss:0.007268
scale 0:[550/1000], errG: -0.168924 ,output.mean(): 0.168924, rec_loss:0.008516
scale 0:[575/1000], errG: -0.220136 ,output.mean(): 0.220136, rec_loss:0.009555
scale 0:[600/1000], errG: -0.220874 ,output.mean(): 0.220874, rec_loss:0.011696
scale 0:[625/1000], errG: -0.256639 ,output.mean(): 0.256639, rec_loss:0.008790
scale 0:[650/1000], errG: -0.315396 ,output.mean(): 0.315396, rec_loss:0.012875
scale 0:[675/1000], errG: -0.385563 ,output.mean(): 0.385563, rec_loss:0.009213
scale 0:[700/1000], errG: -0.251151 ,output.mean(): 0.251151, rec_loss:0.008098
scale 0:[725/1000], errG: -0.257062 ,output.mean(): 0.257062, rec_loss:0.008784
scale 0:[750/1000], errG: -0.292813 ,output.mean(): 0.292813, rec_loss:0.005367
scale 0:[775/1000], errG: -0.344991 ,output.mean(): 0.344991, rec_loss:0.006191
scale 0:[800/1000], errG: -0.297723 ,output.mean(): 0.297723, rec_loss:0.011436
scale 0:[825/1000], errG: -0.271051 ,output.mean(): 0.271051, rec_loss:0.026811
scale 0:[850/1000], errG: -0.244015 ,output.mean(): 0.244015, rec_loss:0.006534
scale 0:[875/1000], errG: -0.435343 ,output.mean(): 0.435343, rec_loss:0.010373
scale 0:[900/1000], errG: -0.372111 ,output.mean(): 0.372111, rec_loss:0.006807
scale 0:[925/1000], errG: -0.377767 ,output.mean(): 0.377767, rec_loss:0.003860
scale 0:[950/1000], errG: -0.467411 ,output.mean(): 0.467411, rec_loss:0.014911
scale 0:[975/1000], errG: -0.602956 ,output.mean(): 0.602956, rec_loss:0.006119
scale 0:[999/1000], errG: -0.537813 ,output.mean(): 0.537813, rec_loss:0.011578
Scale: 0, realD_loss: 0.066495 
alpha:20
scale 1:[0/1000], errG: -0.526082 ,output.mean(): 0.526082, rec_loss:0.062097
scale 1:[25/1000], errG: -0.523272 ,output.mean(): 0.523272, rec_loss:0.003635
scale 1:[50/1000], errG: -0.728927 ,output.mean(): 0.728927, rec_loss:0.002704
scale 1:[75/1000], errG: -0.775655 ,output.mean(): 0.775655, rec_loss:0.001989
scale 1:[100/1000], errG: -0.875126 ,output.mean(): 0.875126, rec_loss:0.001474
scale 1:[125/1000], errG: -0.903407 ,output.mean(): 0.903407, rec_loss:0.002128
scale 1:[150/1000], errG: -0.998678 ,output.mean(): 0.998678, rec_loss:0.002408
scale 1:[175/1000], errG: -1.155225 ,output.mean(): 1.155225, rec_loss:0.001439
scale 1:[200/1000], errG: -1.120835 ,output.mean(): 1.120835, rec_loss:0.003040
scale 1:[225/1000], errG: -1.122077 ,output.mean(): 1.122077, rec_loss:0.002399
scale 1:[250/1000], errG: -1.212462 ,output.mean(): 1.212462, rec_loss:0.001901
scale 1:[275/1000], errG: -1.170960 ,output.mean(): 1.170960, rec_loss:0.003241
scale 1:[300/1000], errG: -1.232824 ,output.mean(): 1.232824, rec_loss:0.002673
scale 1:[325/1000], errG: -1.183651 ,output.mean(): 1.183651, rec_loss:0.002097
scale 1:[350/1000], errG: -1.270654 ,output.mean(): 1.270654, rec_loss:0.002604
scale 1:[375/1000], errG: -1.127703 ,output.mean(): 1.127703, rec_loss:0.003028
scale 1:[400/1000], errG: -1.171556 ,output.mean(): 1.171556, rec_loss:0.003405
scale 1:[425/1000], errG: -1.154176 ,output.mean(): 1.154176, rec_loss:0.003936
scale 1:[450/1000], errG: -1.141690 ,output.mean(): 1.141690, rec_loss:0.006486
scale 1:[475/1000], errG: -1.192809 ,output.mean(): 1.192809, rec_loss:0.004668
scale 1:[500/1000], errG: -1.106104 ,output.mean(): 1.106104, rec_loss:0.003465
scale 1:[525/1000], errG: -1.205758 ,output.mean(): 1.205758, rec_loss:0.004891
scale 1:[550/1000], errG: -1.182941 ,output.mean(): 1.182941, rec_loss:0.004804
scale 1:[575/1000], errG: -1.211266 ,output.mean(): 1.211266, rec_loss:0.002727
scale 1:[600/1000], errG: -1.300396 ,output.mean(): 1.300396, rec_loss:0.002575
scale 1:[625/1000], errG: -1.282716 ,output.mean(): 1.282716, rec_loss:0.004100
scale 1:[650/1000], errG: -1.208377 ,output.mean(): 1.208377, rec_loss:0.003229
scale 1:[675/1000], errG: -1.269367 ,output.mean(): 1.269367, rec_loss:0.003883
scale 1:[700/1000], errG: -1.248609 ,output.mean(): 1.248609, rec_loss:0.003479
scale 1:[725/1000], errG: -1.228623 ,output.mean(): 1.228623, rec_loss:0.003668
scale 1:[750/1000], errG: -1.162980 ,output.mean(): 1.162980, rec_loss:0.001552
scale 1:[775/1000], errG: -1.244539 ,output.mean(): 1.244539, rec_loss:0.004504
scale 1:[800/1000], errG: -1.118317 ,output.mean(): 1.118317, rec_loss:0.002645
scale 1:[825/1000], errG: -1.185327 ,output.mean(): 1.185327, rec_loss:0.003997
scale 1:[850/1000], errG: -1.086528 ,output.mean(): 1.086528, rec_loss:0.003675
scale 1:[875/1000], errG: -0.922314 ,output.mean(): 0.922314, rec_loss:0.001424
scale 1:[900/1000], errG: -1.067295 ,output.mean(): 1.067295, rec_loss:0.002802
scale 1:[925/1000], errG: -0.826423 ,output.mean(): 0.826423, rec_loss:0.002036
scale 1:[950/1000], errG: -0.917506 ,output.mean(): 0.917506, rec_loss:0.003738
scale 1:[975/1000], errG: -0.858915 ,output.mean(): 0.858915, rec_loss:0.004457
scale 1:[999/1000], errG: -0.914708 ,output.mean(): 0.914708, rec_loss:0.003475
Scale: 1, realD_loss: 0.091101 
alpha:20
scale 2:[0/1000], errG: -0.819223 ,output.mean(): 0.819223, rec_loss:0.025909
scale 2:[25/1000], errG: -0.922394 ,output.mean(): 0.922394, rec_loss:0.003049
scale 2:[50/1000], errG: -0.806162 ,output.mean(): 0.806162, rec_loss:0.001957
scale 2:[75/1000], errG: -0.695666 ,output.mean(): 0.695666, rec_loss:0.001436
scale 2:[100/1000], errG: -0.651487 ,output.mean(): 0.651487, rec_loss:0.001499
scale 2:[125/1000], errG: -0.871008 ,output.mean(): 0.871008, rec_loss:0.002234
scale 2:[150/1000], errG: -0.655884 ,output.mean(): 0.655884, rec_loss:0.001781
scale 2:[175/1000], errG: -0.629929 ,output.mean(): 0.629929, rec_loss:0.001836
scale 2:[200/1000], errG: -0.657840 ,output.mean(): 0.657840, rec_loss:0.001297
scale 2:[225/1000], errG: -0.561420 ,output.mean(): 0.561420, rec_loss:0.001084
scale 2:[250/1000], errG: -0.543933 ,output.mean(): 0.543933, rec_loss:0.001492
scale 2:[275/1000], errG: -0.518277 ,output.mean(): 0.518277, rec_loss:0.001833
scale 2:[300/1000], errG: -0.547841 ,output.mean(): 0.547841, rec_loss:0.001672
scale 2:[325/1000], errG: -0.642957 ,output.mean(): 0.642957, rec_loss:0.001464
scale 2:[350/1000], errG: -0.431549 ,output.mean(): 0.431549, rec_loss:0.002293
scale 2:[375/1000], errG: -0.398608 ,output.mean(): 0.398608, rec_loss:0.002774
scale 2:[400/1000], errG: -0.316158 ,output.mean(): 0.316158, rec_loss:0.003220
scale 2:[425/1000], errG: -0.292135 ,output.mean(): 0.292135, rec_loss:0.002263
