seed-> 3102
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3102, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=20, train_on_last_scale=0, training_name='', tx='17:32:52')
alpha:20
scale 0:[0/1000], errG: -0.009620 ,output.mean(): 0.009620, rec_loss:0.000000
scale 0:[25/1000], errG: -0.116487 ,output.mean(): 0.116487, rec_loss:0.000000
scale 0:[50/1000], errG: -0.015336 ,output.mean(): 0.015336, rec_loss:0.000000
scale 0:[75/1000], errG: 0.055075 ,output.mean(): -0.055075, rec_loss:0.000000
scale 0:[100/1000], errG: 0.070314 ,output.mean(): -0.070314, rec_loss:0.000000
scale 0:[125/1000], errG: 0.066928 ,output.mean(): -0.066928, rec_loss:0.000000
scale 0:[150/1000], errG: 0.079510 ,output.mean(): -0.079510, rec_loss:0.000000
scale 0:[175/1000], errG: 0.090397 ,output.mean(): -0.090397, rec_loss:0.000000
scale 0:[200/1000], errG: 0.092483 ,output.mean(): -0.092483, rec_loss:0.000000
scale 0:[225/1000], errG: 0.066992 ,output.mean(): -0.066992, rec_loss:0.000000
scale 0:[250/1000], errG: 0.079754 ,output.mean(): -0.079754, rec_loss:0.000000
scale 0:[275/1000], errG: 0.066050 ,output.mean(): -0.066050, rec_loss:0.000000
scale 0:[300/1000], errG: 0.082173 ,output.mean(): -0.082173, rec_loss:0.000000
scale 0:[325/1000], errG: 0.095153 ,output.mean(): -0.095153, rec_loss:0.000000
scale 0:[350/1000], errG: 0.120586 ,output.mean(): -0.120586, rec_loss:0.000000
scale 0:[375/1000], errG: 0.103554 ,output.mean(): -0.103554, rec_loss:0.000000
scale 0:[400/1000], errG: 0.084568 ,output.mean(): -0.084568, rec_loss:0.000000
scale 0:[425/1000], errG: 0.063657 ,output.mean(): -0.063657, rec_loss:0.000000
scale 0:[450/1000], errG: 0.075957 ,output.mean(): -0.075957, rec_loss:0.000000
scale 0:[475/1000], errG: 0.067564 ,output.mean(): -0.067564, rec_loss:0.000000
scale 0:[500/1000], errG: 0.111076 ,output.mean(): -0.111076, rec_loss:0.000000
scale 0:[525/1000], errG: 0.097842 ,output.mean(): -0.097842, rec_loss:0.000000
scale 0:[550/1000], errG: 0.087964 ,output.mean(): -0.087964, rec_loss:0.000000
scale 0:[575/1000], errG: 0.092281 ,output.mean(): -0.092281, rec_loss:0.000000
scale 0:[600/1000], errG: 0.090035 ,output.mean(): -0.090035, rec_loss:0.000000
scale 0:[625/1000], errG: 0.073803 ,output.mean(): -0.073803, rec_loss:0.000000
scale 0:[650/1000], errG: 0.069574 ,output.mean(): -0.069574, rec_loss:0.000000
scale 0:[675/1000], errG: 0.104625 ,output.mean(): -0.104625, rec_loss:0.000000
