seed-> 5234
Namespace(Dsteps=3, Gsteps=3, alpha=100, beta1=0.5, custom_sr_alpha=100, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_cleaned/', input_name='2_crop.png', ker_size=2, lambda_grad=0.1, lr_d=0.0005, lr_g=0.0005, manualSeed=5234, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='2_crop.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/2_crop/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='16:20:31')
alpha:100
scale 1:[500/1000], errG: -0.313433 ,output.mean(): 0.313433, rec_loss:0.148951
scale 1:[525/1000], errG: -0.407353 ,output.mean(): 0.407353, rec_loss:0.118730
scale 1:[550/1000], errG: -0.427654 ,output.mean(): 0.427654, rec_loss:0.061781
scale 1:[575/1000], errG: -0.552821 ,output.mean(): 0.552821, rec_loss:0.077900
scale 1:[600/1000], errG: -0.474040 ,output.mean(): 0.474040, rec_loss:0.069209
scale 1:[625/1000], errG: -0.524227 ,output.mean(): 0.524227, rec_loss:0.075501
scale 1:[650/1000], errG: -0.547051 ,output.mean(): 0.547051, rec_loss:0.050773
scale 1:[675/1000], errG: -0.568333 ,output.mean(): 0.568333, rec_loss:0.050925
scale 1:[700/1000], errG: -0.592397 ,output.mean(): 0.592397, rec_loss:0.069206
scale 1:[725/1000], errG: -0.709032 ,output.mean(): 0.709032, rec_loss:0.039968
scale 1:[750/1000], errG: -0.696076 ,output.mean(): 0.696076, rec_loss:0.065548
scale 1:[775/1000], errG: -0.741412 ,output.mean(): 0.741412, rec_loss:0.064796
scale 1:[800/1000], errG: -0.692573 ,output.mean(): 0.692573, rec_loss:0.044221
scale 1:[825/1000], errG: -0.648606 ,output.mean(): 0.648606, rec_loss:0.043794
scale 1:[850/1000], errG: -0.694644 ,output.mean(): 0.694644, rec_loss:0.030243
scale 1:[875/1000], errG: -0.749896 ,output.mean(): 0.749896, rec_loss:0.048637
scale 1:[900/1000], errG: -0.897583 ,output.mean(): 0.897583, rec_loss:0.042666
scale 1:[925/1000], errG: -0.876679 ,output.mean(): 0.876679, rec_loss:0.058341
scale 1:[950/1000], errG: -0.995604 ,output.mean(): 0.995604, rec_loss:0.053879
scale 1:[975/1000], errG: -0.965148 ,output.mean(): 0.965148, rec_loss:0.057031
scale 1:[999/1000], errG: -0.644077 ,output.mean(): 0.644077, rec_loss:0.049528
Scale: 1, realD_loss: 0.000000 
alpha:100
scale 2:[0/1000], errG: -0.510424 ,output.mean(): 0.510424, rec_loss:3.877755
scale 2:[25/1000], errG: -0.742308 ,output.mean(): 0.742308, rec_loss:0.388709
scale 2:[50/1000], errG: -0.554407 ,output.mean(): 0.554407, rec_loss:0.351474
scale 2:[75/1000], errG: -0.541561 ,output.mean(): 0.541561, rec_loss:0.092325
scale 2:[100/1000], errG: -0.557515 ,output.mean(): 0.557515, rec_loss:0.056101
scale 2:[125/1000], errG: -0.623825 ,output.mean(): 0.623825, rec_loss:0.049800
scale 2:[150/1000], errG: -0.710325 ,output.mean(): 0.710325, rec_loss:0.069843
scale 2:[175/1000], errG: -0.795449 ,output.mean(): 0.795449, rec_loss:0.035474
scale 2:[200/1000], errG: -0.892308 ,output.mean(): 0.892308, rec_loss:0.028436
