seed-> 3415
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3415, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='17:42:48')
alpha:20
scale 1:[500/1000], errG: -0.635469 , errGfrozen : 0.105195, rec_loss:0.027339
scale 1:[525/1000], errG: -0.723092 , errGfrozen : 0.092142, rec_loss:0.016057
scale 1:[550/1000], errG: -0.687788 , errGfrozen : 0.102030, rec_loss:0.023793
scale 1:[575/1000], errG: -0.794310 , errGfrozen : 0.098163, rec_loss:0.017190
scale 1:[600/1000], errG: -0.679122 , errGfrozen : 0.093642, rec_loss:0.012647
scale 1:[625/1000], errG: -0.748108 , errGfrozen : 0.091480, rec_loss:0.016427
scale 1:[650/1000], errG: -0.818592 , errGfrozen : 0.097133, rec_loss:0.017774
scale 1:[675/1000], errG: -0.695161 , errGfrozen : 0.095633, rec_loss:0.017051
scale 1:[700/1000], errG: -0.646732 , errGfrozen : 0.092454, rec_loss:0.015311
scale 1:[725/1000], errG: -0.858542 , errGfrozen : 0.091863, rec_loss:0.012880
scale 1:[750/1000], errG: -0.902589 , errGfrozen : 0.096838, rec_loss:0.021430
scale 1:[775/1000], errG: -0.889289 , errGfrozen : 0.101057, rec_loss:0.014242
scale 1:[800/1000], errG: -1.004734 , errGfrozen : 0.095335, rec_loss:0.016354
scale 1:[825/1000], errG: -0.959075 , errGfrozen : 0.096942, rec_loss:0.016642
scale 1:[850/1000], errG: -0.834789 , errGfrozen : 0.096279, rec_loss:0.021962
scale 1:[875/1000], errG: -0.941669 , errGfrozen : 0.087923, rec_loss:0.021453
scale 1:[900/1000], errG: -0.945516 , errGfrozen : 0.094205, rec_loss:0.013871
scale 1:[925/1000], errG: -0.859164 , errGfrozen : 0.092920, rec_loss:0.019927
scale 1:[950/1000], errG: -0.912627 , errGfrozen : 0.089627, rec_loss:0.017860
scale 1:[975/1000], errG: -1.079287 , errGfrozen : 0.091982, rec_loss:0.018887
scale 1:[999/1000], errG: -0.941793 , errGfrozen : 0.094818, rec_loss:0.016574
Scale: 1, realD_loss: 0.397087 
alpha:20
scale 2:[0/1000], errG: -0.887573 , errGfrozen : 0.076512, rec_loss:0.420248
