seed-> 6207
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6207, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='59_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='13:15:43')
alpha:20
scale 0:[0/1000], errG: 0.038815 ,output.mean(): -0.038815, rec_loss:7.760126
scale 0:[25/1000], errG: 0.041951 ,output.mean(): -0.041951, rec_loss:0.074800
scale 0:[50/1000], errG: 0.089583 ,output.mean(): -0.089583, rec_loss:0.077719
scale 0:[75/1000], errG: 0.121126 ,output.mean(): -0.121126, rec_loss:0.053253
scale 0:[100/1000], errG: 0.158653 ,output.mean(): -0.158653, rec_loss:0.052710
scale 0:[125/1000], errG: 0.145780 ,output.mean(): -0.145780, rec_loss:0.056542
scale 0:[150/1000], errG: 0.061008 ,output.mean(): -0.061008, rec_loss:0.054649
scale 0:[175/1000], errG: 0.140366 ,output.mean(): -0.140366, rec_loss:0.069045
scale 0:[200/1000], errG: 0.076912 ,output.mean(): -0.076912, rec_loss:0.044322
scale 0:[225/1000], errG: 0.166821 ,output.mean(): -0.166821, rec_loss:0.045775
scale 0:[250/1000], errG: 0.133840 ,output.mean(): -0.133840, rec_loss:0.059036
scale 0:[275/1000], errG: 0.137844 ,output.mean(): -0.137844, rec_loss:0.048542
scale 0:[300/1000], errG: 0.044673 ,output.mean(): -0.044673, rec_loss:0.047729
scale 0:[325/1000], errG: 0.038493 ,output.mean(): -0.038493, rec_loss:0.059845
scale 0:[350/1000], errG: 0.179294 ,output.mean(): -0.179294, rec_loss:0.051951
scale 0:[375/1000], errG: 0.077338 ,output.mean(): -0.077338, rec_loss:0.048603
scale 0:[400/1000], errG: 0.199118 ,output.mean(): -0.199118, rec_loss:0.063633
scale 0:[425/1000], errG: 0.148307 ,output.mean(): -0.148307, rec_loss:0.048163
scale 0:[450/1000], errG: 0.156776 ,output.mean(): -0.156776, rec_loss:0.044836
scale 0:[475/1000], errG: 0.099268 ,output.mean(): -0.099268, rec_loss:0.037607
scale 0:[500/1000], errG: 0.142599 ,output.mean(): -0.142599, rec_loss:0.062029
scale 0:[525/1000], errG: 0.207867 ,output.mean(): -0.207867, rec_loss:0.046886
scale 0:[550/1000], errG: 0.068362 ,output.mean(): -0.068362, rec_loss:0.052894
scale 0:[575/1000], errG: 0.132407 ,output.mean(): -0.132407, rec_loss:0.050467
scale 0:[600/1000], errG: 0.113570 ,output.mean(): -0.113570, rec_loss:0.044512
scale 0:[625/1000], errG: 0.091594 ,output.mean(): -0.091594, rec_loss:0.039126
scale 0:[650/1000], errG: 0.094845 ,output.mean(): -0.094845, rec_loss:0.052011
scale 0:[675/1000], errG: 0.130889 ,output.mean(): -0.130889, rec_loss:0.041452
scale 0:[700/1000], errG: 0.050330 ,output.mean(): -0.050330, rec_loss:0.037274
scale 0:[725/1000], errG: -0.000695 ,output.mean(): 0.000695, rec_loss:0.044378
scale 0:[750/1000], errG: 0.063837 ,output.mean(): -0.063837, rec_loss:0.040477
scale 0:[775/1000], errG: 0.073188 ,output.mean(): -0.073188, rec_loss:0.076392
scale 0:[800/1000], errG: 0.009645 ,output.mean(): -0.009645, rec_loss:0.035189
scale 0:[825/1000], errG: 0.050399 ,output.mean(): -0.050399, rec_loss:0.044842
scale 0:[850/1000], errG: 0.064829 ,output.mean(): -0.064829, rec_loss:0.049505
scale 0:[875/1000], errG: 0.118402 ,output.mean(): -0.118402, rec_loss:0.044897
scale 0:[900/1000], errG: 0.129768 ,output.mean(): -0.129768, rec_loss:0.054761
scale 0:[925/1000], errG: 0.076736 ,output.mean(): -0.076736, rec_loss:0.038557
scale 0:[950/1000], errG: 0.083459 ,output.mean(): -0.083459, rec_loss:0.040903
scale 0:[975/1000], errG: 0.088881 ,output.mean(): -0.088881, rec_loss:0.037469
scale 0:[999/1000], errG: 0.142523 ,output.mean(): -0.142523, rec_loss:0.050807
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: 0.368982 ,output.mean(): -0.368982, rec_loss:8.302738
scale 1:[25/1000], errG: 0.109966 ,output.mean(): -0.109966, rec_loss:0.058719
scale 1:[50/1000], errG: 0.120670 ,output.mean(): -0.120670, rec_loss:0.057607
scale 1:[75/1000], errG: 0.105477 ,output.mean(): -0.105477, rec_loss:0.051967
scale 1:[100/1000], errG: 0.115957 ,output.mean(): -0.115957, rec_loss:0.047223
scale 1:[125/1000], errG: 0.162970 ,output.mean(): -0.162970, rec_loss:0.049338
scale 1:[150/1000], errG: 0.121122 ,output.mean(): -0.121122, rec_loss:0.045272
scale 1:[175/1000], errG: 0.069885 ,output.mean(): -0.069885, rec_loss:0.039472
scale 1:[200/1000], errG: 0.208114 ,output.mean(): -0.208114, rec_loss:0.047142
scale 1:[225/1000], errG: 0.082816 ,output.mean(): -0.082816, rec_loss:0.041787
scale 1:[250/1000], errG: 0.158834 ,output.mean(): -0.158834, rec_loss:0.050726
scale 1:[275/1000], errG: 0.059628 ,output.mean(): -0.059628, rec_loss:0.035269
scale 1:[300/1000], errG: 0.071240 ,output.mean(): -0.071240, rec_loss:0.034138
scale 1:[325/1000], errG: 0.054135 ,output.mean(): -0.054135, rec_loss:0.029933
scale 1:[350/1000], errG: -0.008171 ,output.mean(): 0.008171, rec_loss:0.027396
scale 1:[375/1000], errG: 0.006695 ,output.mean(): -0.006695, rec_loss:0.027332
scale 1:[400/1000], errG: -0.026758 ,output.mean(): 0.026758, rec_loss:0.023669
scale 1:[425/1000], errG: 0.045675 ,output.mean(): -0.045675, rec_loss:0.027514
scale 1:[450/1000], errG: -0.020351 ,output.mean(): 0.020351, rec_loss:0.020616
scale 1:[475/1000], errG: -0.071146 ,output.mean(): 0.071146, rec_loss:0.023389
scale 1:[500/1000], errG: -0.040119 ,output.mean(): 0.040119, rec_loss:0.018713
scale 1:[525/1000], errG: -0.045158 ,output.mean(): 0.045158, rec_loss:0.018776
scale 1:[550/1000], errG: -0.131131 ,output.mean(): 0.131131, rec_loss:0.017013
scale 1:[575/1000], errG: -0.171642 ,output.mean(): 0.171642, rec_loss:0.016599
scale 1:[600/1000], errG: -0.215200 ,output.mean(): 0.215200, rec_loss:0.014685
scale 1:[625/1000], errG: -0.135704 ,output.mean(): 0.135704, rec_loss:0.014814
scale 1:[650/1000], errG: -0.198667 ,output.mean(): 0.198667, rec_loss:0.014118
scale 1:[675/1000], errG: -0.226435 ,output.mean(): 0.226435, rec_loss:0.012447
scale 1:[700/1000], errG: -0.164040 ,output.mean(): 0.164040, rec_loss:0.012437
scale 1:[725/1000], errG: -0.163284 ,output.mean(): 0.163284, rec_loss:0.010785
scale 1:[750/1000], errG: -0.101080 ,output.mean(): 0.101080, rec_loss:0.010465
scale 1:[775/1000], errG: -0.246408 ,output.mean(): 0.246408, rec_loss:0.010400
scale 1:[800/1000], errG: -0.209922 ,output.mean(): 0.209922, rec_loss:0.010231
scale 1:[825/1000], errG: -0.256583 ,output.mean(): 0.256583, rec_loss:0.009253
scale 1:[850/1000], errG: -0.178957 ,output.mean(): 0.178957, rec_loss:0.009865
scale 1:[875/1000], errG: -0.283802 ,output.mean(): 0.283802, rec_loss:0.008760
scale 1:[900/1000], errG: -0.218332 ,output.mean(): 0.218332, rec_loss:0.008136
scale 1:[925/1000], errG: -0.252147 ,output.mean(): 0.252147, rec_loss:0.009402
scale 1:[950/1000], errG: -0.237375 ,output.mean(): 0.237375, rec_loss:0.008807
scale 1:[975/1000], errG: -0.219167 ,output.mean(): 0.219167, rec_loss:0.010112
scale 1:[999/1000], errG: -0.260067 ,output.mean(): 0.260067, rec_loss:0.007313
Scale: 1, realD_loss: 0.690617 
alpha:20
scale 2:[0/1000], errG: -0.159870 ,output.mean(): 0.159870, rec_loss:0.099821
scale 2:[25/1000], errG: -0.432840 ,output.mean(): 0.432840, rec_loss:0.032077
scale 2:[50/1000], errG: -0.460668 ,output.mean(): 0.460668, rec_loss:0.019672
scale 2:[75/1000], errG: -0.538506 ,output.mean(): 0.538506, rec_loss:0.015542
scale 2:[100/1000], errG: -0.555690 ,output.mean(): 0.555690, rec_loss:0.014102
