seed-> 7745
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cpu'), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=7745, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=1, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=260, train_on_last_scale=0, training_name='', tx='09:39:46')
alpha:20
scale 1:[500/1000], errG: -0.272052 ,output.mean(): 0.272052, rec_loss:0.003166
scale 1:[525/1000], errG: -0.501088 ,output.mean(): 0.501088, rec_loss:0.002936
scale 1:[550/1000], errG: -0.485516 ,output.mean(): 0.485516, rec_loss:0.003469
scale 1:[575/1000], errG: -0.479105 ,output.mean(): 0.479105, rec_loss:0.002494
scale 1:[600/1000], errG: -0.468180 ,output.mean(): 0.468180, rec_loss:0.019862
scale 1:[625/1000], errG: -0.435811 ,output.mean(): 0.435811, rec_loss:0.003637
scale 1:[650/1000], errG: -0.218577 ,output.mean(): 0.218577, rec_loss:0.011441
scale 1:[675/1000], errG: -0.300585 ,output.mean(): 0.300585, rec_loss:0.430397
scale 1:[700/1000], errG: -0.329724 ,output.mean(): 0.329724, rec_loss:0.427015
scale 1:[725/1000], errG: -0.361856 ,output.mean(): 0.361856, rec_loss:0.012739
scale 1:[750/1000], errG: -0.355646 ,output.mean(): 0.355646, rec_loss:0.012110
scale 1:[775/1000], errG: -0.315321 ,output.mean(): 0.315321, rec_loss:0.026682
scale 1:[800/1000], errG: -0.342713 ,output.mean(): 0.342713, rec_loss:0.023142
scale 1:[825/1000], errG: -0.362914 ,output.mean(): 0.362914, rec_loss:0.013280
scale 1:[850/1000], errG: -0.367427 ,output.mean(): 0.367427, rec_loss:0.013532
scale 1:[875/1000], errG: -0.400333 ,output.mean(): 0.400333, rec_loss:0.004579
scale 1:[900/1000], errG: -0.424869 ,output.mean(): 0.424869, rec_loss:0.006446
scale 1:[925/1000], errG: -0.393876 ,output.mean(): 0.393876, rec_loss:0.004904
scale 1:[950/1000], errG: -0.612229 ,output.mean(): 0.612229, rec_loss:0.011322
scale 1:[975/1000], errG: -0.288859 ,output.mean(): 0.288859, rec_loss:0.007220
scale 1:[999/1000], errG: -0.208049 ,output.mean(): 0.208049, rec_loss:0.015747
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: -0.190634 ,output.mean(): 0.190634, rec_loss:0.007875
scale 2:[25/1000], errG: -0.173564 ,output.mean(): 0.173564, rec_loss:0.011163
scale 2:[50/1000], errG: -0.154763 ,output.mean(): 0.154763, rec_loss:0.010135
scale 2:[75/1000], errG: 0.028899 ,output.mean(): -0.028899, rec_loss:0.021871
scale 2:[100/1000], errG: -0.024971 ,output.mean(): 0.024971, rec_loss:0.008545
scale 2:[125/1000], errG: -0.069294 ,output.mean(): 0.069294, rec_loss:0.003389
scale 2:[150/1000], errG: -0.092104 ,output.mean(): 0.092104, rec_loss:0.010863
scale 2:[175/1000], errG: -0.183573 ,output.mean(): 0.183573, rec_loss:0.003032
scale 2:[200/1000], errG: -0.236850 ,output.mean(): 0.236850, rec_loss:0.002649
scale 2:[225/1000], errG: 0.079864 ,output.mean(): -0.079864, rec_loss:0.006832
scale 2:[250/1000], errG
