seed-> 9852
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9852, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='63.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='12:23:31')
alpha:20
scale 0:[0/1000], errG: -0.066023 ,output.mean(): 0.066023, rec_loss:0.040969
scale 0:[25/1000], errG: 0.122504 ,output.mean(): -0.122504, rec_loss:0.022562
scale 0:[50/1000], errG: 0.116092 ,output.mean(): -0.116092, rec_loss:0.064172
scale 0:[75/1000], errG: 0.073319 ,output.mean(): -0.073319, rec_loss:0.024361
scale 0:[100/1000], errG: 0.067345 ,output.mean(): -0.067345, rec_loss:0.041769
scale 0:[125/1000], errG: 0.162722 ,output.mean(): -0.162722, rec_loss:0.040258
scale 0:[150/1000], errG: 0.143144 ,output.mean(): -0.143144, rec_loss:0.048963
scale 0:[175/1000], errG: 0.064864 ,output.mean(): -0.064864, rec_loss:0.057582
scale 0:[200/1000], errG: 0.028259 ,output.mean(): -0.028259, rec_loss:0.042164
scale 0:[225/1000], errG: 0.175585 ,output.mean(): -0.175585, rec_loss:0.035763
scale 0:[250/1000], errG: 0.204066 ,output.mean(): -0.204066, rec_loss:0.043331
scale 0:[275/1000], errG: 0.095013 ,output.mean(): -0.095013, rec_loss:0.059754
scale 0:[300/1000], errG: -0.025196 ,output.mean(): 0.025196, rec_loss:0.077835
scale 0:[325/1000], errG: -0.129842 ,output.mean(): 0.129842, rec_loss:0.059167
scale 0:[350/1000], errG: -0.047476 ,output.mean(): 0.047476, rec_loss:0.070268
scale 0:[375/1000], errG: -0.151066 ,output.mean(): 0.151066, rec_loss:0.054084
scale 0:[400/1000], errG: -0.166570 ,output.mean(): 0.166570, rec_loss:0.116219
scale 0:[425/1000], errG: -0.210187 ,output.mean(): 0.210187, rec_loss:0.043692
scale 0:[450/1000], errG: 0.071044 ,output.mean(): -0.071044, rec_loss:0.037141
scale 0:[475/1000], errG: 0.067766 ,output.mean(): -0.067766, rec_loss:0.033421
scale 0:[500/1000], errG: -0.409099 ,output.mean(): 0.409099, rec_loss:0.057541
scale 0:[525/1000], errG: -0.258449 ,output.mean(): 0.258449, rec_loss:0.041183
scale 0:[550/1000], errG: -0.134073 ,output.mean(): 0.134073, rec_loss:0.055493
scale 0:[575/1000], errG: -0.118082 ,output.mean(): 0.118082, rec_loss:0.053924
scale 0:[600/1000], errG: -0.252097 ,output.mean(): 0.252097, rec_loss:0.046640
scale 0:[625/1000], errG: -0.220530 ,output.mean(): 0.220530, rec_loss:0.043357
scale 0:[650/1000], errG: -0.398508 ,output.mean(): 0.398508, rec_loss:0.037456
scale 0:[675/1000], errG: -0.362384 ,output.mean(): 0.362384, rec_loss:0.045254
scale 0:[700/1000], errG: -0.366423 ,output.mean(): 0.366423, rec_loss:0.057778
scale 0:[725/1000], errG: -0.159213 ,output.mean(): 0.159213, rec_loss:0.035671
scale 0:[750/1000], errG: -0.317629 ,output.mean(): 0.317629, rec_loss:0.078949
scale 0:[775/1000], errG: -0.307662 ,output.mean(): 0.307662, rec_loss:0.040640
scale 0:[800/1000], errG: -0.423499 ,output.mean(): 0.423499, rec_loss:0.045024
scale 0:[825/1000], errG: -0.302869 ,output.mean(): 0.302869, rec_loss:0.124212
scale 0:[850/1000], errG: -0.282584 ,output.mean(): 0.282584, rec_loss:0.062673
scale 0:[875/1000], errG: -0.394571 ,output.mean(): 0.394571, rec_loss:0.051131
scale 0:[900/1000], errG: -0.356340 ,output.mean(): 0.356340, rec_loss:0.045134
scale 0:[925/1000], errG: -0.515921 ,output.mean(): 0.515921, rec_loss:0.066921
scale 0:[950/1000], errG: -0.552390 ,output.mean(): 0.552390, rec_loss:0.043640
scale 0:[975/1000], errG: -0.587093 ,output.mean(): 0.587093, rec_loss:0.099326
scale 0:[999/1000], errG: -0.781654 ,output.mean(): 0.781654, rec_loss:0.085612
Scale: 0, realD_loss: 0.066495 
alpha:20
scale 1:[0/1000], errG: -0.734470 ,output.mean(): 0.734470, rec_loss:0.137306
scale 1:[25/1000], errG: -0.885972 ,output.mean(): 0.885972, rec_loss:0.031539
scale 1:[50/1000], errG: -0.643699 ,output.mean(): 0.643699, rec_loss:0.019083
scale 1:[75/1000], errG: -0.866460 ,output.mean(): 0.866460, rec_loss:0.011918
scale 1:[100/1000], errG: -0.817712 ,output.mean(): 0.817712, rec_loss:0.012328
scale 1:[125/1000], errG: -0.779376 ,output.mean(): 0.779376, rec_loss:0.008052
scale 1:[150/1000], errG: -0.886523 ,output.mean(): 0.886523, rec_loss:0.012164
scale 1:[175/1000], errG: -1.095169 ,output.mean(): 1.095169, rec_loss:0.007478
scale 1:[200/1000], errG: -1.020626 ,output.mean(): 1.020626, rec_loss:0.010656
scale 1:[225/1000], errG: -1.135255 ,output.mean(): 1.135255, rec_loss:0.009028
scale 1:[250/1000], errG: -1.034986 ,output.mean(): 1.034986, rec_loss:0.011652
scale 1:[275/1000], errG: -1.192151 ,output.mean(): 1.192151, rec_loss:0.018678
scale 1:[300/1000], errG: -1.264810 ,output.mean(): 1.264810, rec_loss:0.008902
scale 1:[325/1000], errG: -1.095601 ,output.mean(): 1.095601, rec_loss:0.005395
scale 1:[350/1000], errG: -1.317427 ,output.mean(): 1.317427, rec_loss:0.005885
scale 1:[375/1000], errG: -1.336669 ,output.mean(): 1.336669, rec_loss:0.004049
scale 1:[400/1000], errG: -1.177346 ,output.mean(): 1.177346, rec_loss:0.007093
scale 1:[425/1000], errG: -1.011561 ,output.mean(): 1.011561, rec_loss:0.008091
scale 1:[450/1000], errG: -1.042303 ,output.mean(): 1.042303, rec_loss:0.006795
scale 1:[475/1000], errG: -1.078782 ,output.mean(): 1.078782, rec_loss:0.008012
scale 1:[500/1000], errG: -0.936762 ,output.mean(): 0.936762, rec_loss:0.004794
scale 1:[525/1000], errG: -0.945378 ,output.mean(): 0.945378, rec_loss:0.008700
scale 1:[550/1000], errG: -0.975623 ,output.mean(): 0.975623, rec_loss:0.006283
scale 1:[575/1000], errG: -1.055936 ,output.mean(): 1.055936, rec_loss:0.008048
scale 1:[600/1000], errG: -0.909489 ,output.mean(): 0.909489, rec_loss:0.006393
scale 1:[625/1000], errG: -0.790592 ,output.mean(): 0.790592, rec_loss:0.005592
scale 1:[650/1000], errG: -0.504299 ,output.mean(): 0.504299, rec_loss:0.008191
scale 1:[675/1000], errG: -0.616004 ,output.mean(): 0.616004, rec_loss:0.007392
scale 1:[700/1000], errG: -0.620966 ,output.mean(): 0.620966, rec_loss:0.009247
scale 1:[725/1000], errG: -0.680775 ,output.mean(): 0.680775, rec_loss:0.006927
scale 1:[750/1000], errG: -0.520664 ,output.mean(): 0.520664, rec_loss:0.010075
scale 1:[775/1000], errG: -0.392361 ,output.mean(): 0.392361, rec_loss:0.010697
scale 1:[800/1000], errG: -0.844249 ,output.mean(): 0.844249, rec_loss:0.007228
scale 1:[825/1000], errG: -0.671419 ,output.mean(): 0.671419, rec_loss:0.009993
scale 1:[850/1000], errG: -0.563753 ,output.mean(): 0.563753, rec_loss:0.008698
scale 1:[875/1000], errG: -0.784672 ,output.mean(): 0.784672, rec_loss:0.008443
scale 1:[900/1000], errG: -0.526159 ,output.mean(): 0.526159, rec_loss:0.012391
scale 1:[925/1000], errG: -0.783343 ,output.mean(): 0.783343, rec_loss:0.007280
scale 1:[950/1000], errG: -0.646567 ,output.mean(): 0.646567, rec_loss:0.008412
scale 1:[975/1000], errG: -0.926697 ,output.mean(): 0.926697, rec_loss:0.007789
scale 1:[999/1000], errG: -0.775629 ,output.mean(): 0.775629, rec_loss:0.008458
Scale: 1, realD_loss: 0.091101 
alpha:20
scale 2:[0/1000], errG: -0.726243 ,output.mean(): 0.726243, rec_loss:0.060111
scale 2:[25/1000], errG: -0.654354 ,output.mean(): 0.654354, rec_loss:0.008783
scale 2:[50/1000], errG: -0.743567 ,output.mean(): 0.743567, rec_loss:0.006449
scale 2:[75/1000], errG: -0.792953 ,output.mean(): 0.792953, rec_loss:0.006787
scale 2:[100/1000], errG: -1.103620 ,output.mean(): 1.103620, rec_loss:0.004009
scale 2:[125/1000], errG: -1.153294 ,output.mean(): 1.153294, rec_loss:0.004798
scale 2:[150/1000], errG: -0.936608 ,output.mean(): 0.936608, rec_loss:0.007538
scale 2:[175/1000], errG: -0.883060 ,output.mean(): 0.883060, rec_loss:0.009758
scale 2:[200/1000], errG: -0.966597 ,output.mean(): 0.966597, rec_loss:0.004261
scale 2:[225/1000], errG: -1.124867 ,output.mean(): 1.124867, rec_loss:0.004093
scale 2:[250/1000], errG: -0.890050 ,output.mean(): 0.890050, rec_loss:0.003877
scale 2:[275/1000], errG: -0.967610 ,output.mean(): 0.967610, rec_loss:0.005445
scale 2:[300/1000], errG: -0.977716 ,output.mean(): 0.977716, rec_loss:0.008200
scale 2:[325/1000], errG: -1.054415 ,output.mean(): 1.054415, rec_loss:0.010126
scale 2:[350/1000], errG: -1.206893 ,output.mean(): 1.206893, rec_loss:0.003822
scale 2:[375/1000], errG: -1.068008 ,output.mean(): 1.068008, rec_loss:0.009152
scale 2:[400/1000], errG: -1.082363 ,output.mean(): 1.082363, rec_loss:0.004580
scale 2:[425/1000], errG: -1.115175 ,output.mean(): 1.115175, rec_loss:0.005447
scale 2:[450/1000], errG: -1.139822 ,output.mean(): 1.139822, rec_loss:0.005456
scale 2:[475/1000], errG: -1.357024 ,output.mean(): 1.357024, rec_loss:0.005964
