seed-> 720
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=720, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='10:00:53')
alpha:20
scale 0:[0/1000], errG: 0.046782 ,output.mean(): -0.046782, rec_loss:0.000000
scale 0:[25/1000], errG: -0.085388 ,output.mean(): 0.085388, rec_loss:0.000000
scale 0:[50/1000], errG: -0.197273 ,output.mean(): 0.197273, rec_loss:0.000000
scale 0:[75/1000], errG: -0.204974 ,output.mean(): 0.204974, rec_loss:0.000000
scale 0:[100/1000], errG: -0.065259 ,output.mean(): 0.065259, rec_loss:0.000000
scale 0:[125/1000], errG: -0.021287 ,output.mean(): 0.021287, rec_loss:0.000000
scale 0:[150/1000], errG: -0.086230 ,output.mean(): 0.086230, rec_loss:0.000000
scale 0:[175/1000], errG: -0.068367 ,output.mean(): 0.068367, rec_loss:0.000000
scale 0:[200/1000], errG: -0.054414 ,output.mean(): 0.054414, rec_loss:0.000000
scale 0:[225/1000], errG: -0.054642 ,output.mean(): 0.054642, rec_loss:0.000000
scale 0:[250/1000], errG: -0.052423 ,output.mean(): 0.052423, rec_loss:0.000000
scale 0:[275/1000], errG: -0.046720 ,output.mean(): 0.046720, rec_loss:0.000000
scale 0:[300/1000], errG: 0.000420 ,output.mean(): -0.000420, rec_loss:0.000000
scale 0:[325/1000], errG: -0.061748 ,output.mean(): 0.061748, rec_loss:0.000000
scale 0:[350/1000], errG: -0.006735 ,output.mean(): 0.006735, rec_loss:0.000000
scale 0:[375/1000], errG: -0.010996 ,output.mean(): 0.010996, rec_loss:0.000000
scale 0:[400/1000], errG: -0.006706 ,output.mean(): 0.006706, rec_loss:0.000000
scale 0:[425/1000], errG: 0.020863 ,output.mean(): -0.020863, rec_loss:0.000000
scale 0:[450/1000], errG: -0.022571 ,output.mean(): 0.022571, rec_loss:0.000000
scale 0:[475/1000], errG: -0.006945 ,output.mean(): 0.006945, rec_loss:0.000000
scale 0:[500/1000], errG: -0.005700 ,output.mean(): 0.005700, rec_loss:0.000000
scale 0:[525/1000], errG: 0.006085 ,output.mean(): -0.006085, rec_loss:0.000000
scale 0:[550/1000], errG: 0.046580 ,output.mean(): -0.046580, rec_loss:0.000000
scale 0:[575/1000], errG: -0.018019 ,output.mean(): 0.018019, rec_loss:0.000000
scale 0:[600/1000], errG: 0.034022 ,output.mean(): -0.034022, rec_loss:0.000000
scale 0:[625/1000], errG: 0.088087 ,output.mean(): -0.088087, rec_loss:0.000000
scale 0:[650/1000], errG: 0.000875 ,output.mean(): -0.000875, rec_loss:0.000000
scale 0:[675/1000], errG: 0.022415 ,output.mean(): -0.022415, rec_loss:0.000000
scale 0:[700/1000], errG: 0.005887 ,output.mean(): -0.005887, rec_loss:0.000000
scale 0:[725/1000], errG: 0.000567 ,output.mean(): -0.000567, rec_loss:0.000000
scale 0:[750/1000], errG: 0.012187 ,output.mean(): -0.012187, rec_loss:0.000000
scale 0:[775/1000], errG: -0.002316 ,output.mean(): 0.002316, rec_loss:0.000000
scale 0:[800/1000], errG: 0.024906 ,output.mean(): -0.024906, rec_loss:0.000000
scale 0:[825/1000], errG: 0.025971 ,output.mean(): -0.025971, rec_loss:0.000000
scale 0:[850/1000], errG: 0.016266 ,output.mean(): -0.016266, rec_loss:0.000000
scale 0:[875/1000], errG: -0.002330 ,output.mean(): 0.002330, rec_loss:0.000000
scale 0:[900/1000], errG: 0.056685 ,output.mean(): -0.056685, rec_loss:0.000000
scale 0:[925/1000], errG: 0.042391 ,output.mean(): -0.042391, rec_loss:0.000000
scale 0:[950/1000], errG: 0.046124 ,output.mean(): -0.046124, rec_loss:0.000000
scale 0:[975/1000], errG: 0.055149 ,output.mean(): -0.055149, rec_loss:0.000000
scale 0:[999/1000], errG: 0.032691 ,output.mean(): -0.032691, rec_loss:0.000000
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: 0.069856 ,output.mean(): -0.069856, rec_loss:0.000000
scale 1:[25/1000], errG: 0.053029 ,output.mean(): -0.053029, rec_loss:0.000000
scale 1:[50/1000], errG: 0.093553 ,output.mean(): -0.093553, rec_loss:0.000000
scale 1:[75/1000], errG: 0.125756 ,output.mean(): -0.125756, rec_loss:0.000000
scale 1:[100/1000], errG: 0.035890 ,output.mean(): -0.035890, rec_loss:0.000000
scale 1:[125/1000], errG: 0.016264 ,output.mean(): -0.016264, rec_loss:0.000000
scale 1:[150/1000], errG: -0.025306 ,output.mean(): 0.025306, rec_loss:0.000000
scale 1:[175/1000], errG: -0.055912 ,output.mean(): 0.055912, rec_loss:0.000000
scale 1:[200/1000], errG: -0.019830 ,output.mean(): 0.019830, rec_loss:0.000000
scale 1:[225/1000], errG: -0.013489 ,output.mean(): 0.013489, rec_loss:0.000000
scale 1:[250/1000], errG: -0.062889 ,output.mean(): 0.062889, rec_loss:0.000000
scale 1:[275/1000], errG: -0.036402 ,output.mean(): 0.036402, rec_loss:0.000000
scale 1:[300/1000], errG: -0.006885 ,output.mean(): 0.006885, rec_loss:0.000000
scale 1:[325/1000], errG: -0.001700 ,output.mean(): 0.001700, rec_loss:0.000000
scale 1:[350/1000], errG: 0.008190 ,output.mean(): -0.008190, rec_loss:0.000000
scale 1:[375/1000], errG: -0.051187 ,output.mean(): 0.051187, rec_loss:0.000000
scale 1:[400/1000], errG: -0.137742 ,output.mean(): 0.137742, rec_loss:0.000000
scale 1:[425/1000], errG: -0.148459 ,output.mean(): 0.148459, rec_loss:0.000000
scale 1:[450/1000], errG: -0.131663 ,output.mean(): 0.131663, rec_loss:0.000000
scale 1:[475/1000], errG: -0.194228 ,output.mean(): 0.194228, rec_loss:0.000000
scale 1:[500/1000], errG: -0.210293 ,output.mean(): 0.210293, rec_loss:0.000000
scale 1:[525/1000], errG: -0.233492 ,output.mean(): 0.233492, rec_loss:0.000000
scale 1:[550/1000], errG: -0.186722 ,output.mean(): 0.186722, rec_loss:0.000000
scale 1:[575/1000], errG: -0.255878 ,output.mean(): 0.255878, rec_loss:0.000000
scale 1:[600/1000], errG: -0.276855 ,output.mean(): 0.276855, rec_loss:0.000000
scale 1:[625/1000], errG: -0.280389 ,output.mean(): 0.280389, rec_loss:0.000000
scale 1:[650/1000], errG: -0.272126 ,output.mean(): 0.272126, rec_loss:0.000000
scale 1:[675/1000], errG: -0.279544 ,output.mean(): 0.279544, rec_loss:0.000000
scale 1:[700/1000], errG: -0.272757 ,output.mean(): 0.272757, rec_loss:0.000000
