seed-> 86
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_cleaned/', input_name='2_crop.png', ker_size=2, lambda_grad=0.1, lr_d=0.0005, lr_g=0.0005, manualSeed=86, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='2_crop.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/2_crop/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='13:38:31')
alpha:20
scale 0:[0/1000], errG: -0.108047 ,output.mean(): 0.108047, rec_loss:13.686957
scale 0:[25/1000], errG: -0.078624 ,output.mean(): 0.078624, rec_loss:0.337677
scale 0:[50/1000], errG: 0.009824 ,output.mean(): -0.009824, rec_loss:0.139257
scale 0:[75/1000], errG: 0.016195 ,output.mean(): -0.016195, rec_loss:0.134741
scale 0:[100/1000], errG: -0.043339 ,output.mean(): 0.043339, rec_loss:0.128806
scale 0:[125/1000], errG: 0.040676 ,output.mean(): -0.040676, rec_loss:0.139046
scale 0:[150/1000], errG: 0.029413 ,output.mean(): -0.029413, rec_loss:0.136671
scale 0:[175/1000], errG: 0.154550 ,output.mean(): -0.154550, rec_loss:0.137448
scale 0:[200/1000], errG: 0.023066 ,output.mean(): -0.023066, rec_loss:0.128694
scale 0:[225/1000], errG: 0.092476 ,output.mean(): -0.092476, rec_loss:0.131564
scale 0:[250/1000], errG: 0.094303 ,output.mean(): -0.094303, rec_loss:0.132788
scale 0:[275/1000], errG: 0.061002 ,output.mean(): -0.061002, rec_loss:0.139281
scale 0:[300/1000], errG: 0.115579 ,output.mean(): -0.115579, rec_loss:0.125457
scale 0:[325/1000], errG: 0.081077 ,output.mean(): -0.081077, rec_loss:0.140838
scale 0:[350/1000], errG: 0.089843 ,output.mean(): -0.089843, rec_loss:0.137525
scale 0:[375/1000], errG: 0.089269 ,output.mean(): -0.089269, rec_loss:0.129171
scale 0:[400/1000], errG: 0.052709 ,output.mean(): -0.052709, rec_loss:0.129626
scale 0:[425/1000], errG: 0.115430 ,output.mean(): -0.115430, rec_loss:0.125413
scale 0:[450/1000], errG: 0.093935 ,output.mean(): -0.093935, rec_loss:0.147604
scale 0:[475/1000], errG: 0.104655 ,output.mean(): -0.104655, rec_loss:0.123693
scale 0:[500/1000], errG: 0.174229 ,output.mean(): -0.174229, rec_loss:0.143506
scale 0:[525/1000], errG: 0.185000 ,output.mean(): -0.185000, rec_loss:0.124342
