seed-> 689
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='clean.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=689, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/clean/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='')
alpha:20
scale 1:[500/1000], errG: -0.674492 ,output.mean(): 0.674492, rec_loss:0.008887
scale 1:[525/1000], errG: -0.643546 ,output.mean(): 0.643546, rec_loss:0.008844
scale 1:[550/1000], errG: -0.748761 ,output.mean(): 0.748761, rec_loss:0.008733
scale 1:[575/1000], errG: -0.851161 ,output.mean(): 0.851161, rec_loss:0.010132
scale 1:[600/1000], errG: -0.858031 ,output.mean(): 0.858031, rec_loss:0.008051
scale 1:[625/1000], errG: -0.799591 ,output.mean(): 0.799591, rec_loss:0.008059
scale 1:[650/1000], errG: -0.797851 ,output.mean(): 0.797851, rec_loss:0.008586
scale 1:[675/1000], errG: -0.772849 ,output.mean(): 0.772849, rec_loss:0.007789
scale 1:[700/1000], errG: -0.759539 ,output.mean(): 0.759539, rec_loss:0.005947
scale 1:[725/1000], errG: -0.928182 ,output.mean(): 0.928182, rec_loss:0.005456
scale 1:[750/1000], errG: -0.888063 ,output.mean(): 0.888063, rec_loss:0.006560
scale 1:[775/1000], errG: -0.748399 ,output.mean(): 0.748399, rec_loss:0.007391
scale 1:[800/1000], errG: -0.789827 ,output.mean(): 0.789827, rec_loss:0.005502
scale 1:[825/1000], errG: -0.808692 ,output.mean(): 0.808692, rec_loss:0.007072
scale 1:[850/1000], errG: -0.836858 ,output.mean(): 0.836858, rec_loss:0.005800
scale 1:[875/1000], errG: -0.723677 ,output.mean(): 0.723677, rec_loss:0.005187
scale 1:[900/1000], errG: -0.716768 ,output.mean(): 0.716768, rec_loss:0.006155
scale 1:[925/1000], errG: -0.776234 ,output.mean(): 0.776234, rec_loss:0.004294
scale 1:[950/1000], errG: -0.945925 ,output.mean(): 0.945925, rec_loss:0.003699
scale 1:[975/1000], errG: -0.884190 ,output.mean(): 0.884190, rec_loss:0.004076
scale 1:[999/1000], errG: -0.883917 ,output.mean(): 0.883917, rec_loss:0.004827
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: -0.703713 ,output.mean(): 0.703713, rec_loss:0.140130
scale 2:[25/1000], errG: -0.804315 ,output.mean(): 0.804315, rec_loss:0.025148
scale 2:[50/1000], errG: -0.825812 ,output.mean(): 0.825812, rec_loss:0.014782
scale 2:[75/1000], errG: -0.854552 ,output.mean(): 0.854552, rec_loss:0.008917
scale 2:[100/1000], errG: -0.943558 ,output.mean(): 0.943558, rec_loss:0.006431
scale 2:[125/1000], errG: -0.949583 ,output.mean(): 0.949583, rec_loss:0.005644
scale 2:[150/1000], errG: -1.017331 ,output.mean(): 1.017331, rec_loss:0.004663
scale 2:[175/1000], errG: -1.013485 ,output.mean(): 1.013485, rec_loss:0.003844
scale 2:[200/1000], errG: -1.018710 ,output.mean(): 1.018710, rec_loss:0.003608
scale 2:[225/1000], errG: -1.027947 ,output.mean(): 1.027947, rec_loss:0.003804
scale 2:[250/1000], errG: -1.059868 ,output.mean(): 1.059868, rec_loss:0.002840
scale 2:[275/1000], errG: -1.142993 ,output.mean(): 1.142993, rec_loss:0.002796
scale 2:[300/1000], errG: -1.097913 ,output.mean(): 1.097913, rec_loss:0.002316
scale 2:[325/1000], errG: -1.152440 ,output.mean(): 1.152440, rec_loss:0.002577
scale 2:[350/1000], errG: -1.182484 ,output.mean(): 1.182484, rec_loss:0.002219
scale 2:[375/1000], errG: -1.197844 ,output.mean(): 1.197844, rec_loss:0.002651
scale 2:[400/1000], errG: -1.244924 ,output.mean(): 1.244924, rec_loss:0.002310
scale 2:[425/1000], errG: -1.209660 ,output.mean(): 1.209660, rec_loss:0.002378
scale 2:[450/1000], errG: -1.200463 ,output.mean(): 1.200463, rec_loss:0.001888
scale 2:[475/1000], errG: -1.293728 ,output.mean(): 1.293728, rec_loss:0.002039
scale 2:[500/1000], errG: -1.310753 ,output.mean(): 1.310753, rec_loss:0.001730
scale 2:[525/1000], errG: -1.302564 ,output.mean(): 1.302564, rec_loss:0.001787
scale 2:[550/1000], errG: -1.351336 ,output.mean(): 1.351336, rec_loss:0.001965
scale 2:[575/1000], errG: -1.369285 ,output.mean(): 1.369285, rec_loss:0.001927
scale 2:[600/1000], errG: -1.343477 ,output.mean(): 1.343477, rec_loss:0.001552
scale 2:[625/1000], errG: -1.359766 ,output.mean(): 1.359766, rec_loss:0.001614
scale 2:[650/1000], errG: -1.442036 ,output.mean(): 1.442036, rec_loss:0.001532
scale 2:[675/1000], errG: -1.355411 ,output.mean(): 1.355411, rec_loss:0.001645
scale 2:[700/1000], errG: -1.420396 ,output.mean(): 1.420396, rec_loss:0.001607
scale 2:[725/1000], errG: -1.408781 ,output.mean(): 1.408781, rec_loss:0.001510
scale 2:[750/1000], errG: -1.412735 ,output.mean(): 1.412735, rec_loss:0.001341
scale 2:[775/1000], errG: -1.417749 ,output.mean(): 1.417749, rec_loss:0.001766
scale 2:[800/1000], errG: -1.431360 ,output.mean(): 1.431360, rec_loss:0.001861
scale 2:[825/1000], errG: -1.437605 ,output.mean(): 1.437605, rec_loss:0.001541
scale 2:[850/1000], errG: -1.477079 ,output.mean(): 1.477079, rec_loss:0.001558
scale 2:[875/1000], errG: -1.420386 ,output.mean(): 1.420386, rec_loss:0.001338
scale 2:[900/1000], errG: -1.474599 ,output.mean(): 1.474599, rec_loss:0.001530
scale 2:[925/1000], errG: -1.498359 ,output.mean(): 1.498359, rec_loss:0.001392
scale 2:[950/1000], errG: -1.502279 ,output.mean(): 1.502279, rec_loss:0.001498
scale 2:[975/1000], errG: -1.486532 ,output.mean(): 1.486532, rec_loss:0.001687
scale 2:[999/1000], errG: -1.512284 ,output.mean(): 1.512284, rec_loss:0.001279
Scale: 2, realD_loss: 0.000000 
alpha:20
scale 3:[0/1000], errG: -1.328598 ,output.mean(): 1.328598, rec_loss:0.078795
scale 3:[25/1000], errG: -1.077914 ,output.mean(): 1.077914, rec_loss:0.013530
scale 3:[50/1000], errG: -1.144070 ,output.mean(): 1.144070, rec_loss:0.007032
scale 3:[75/1000], errG: -1.175894 ,output.mean(): 1.175894, rec_loss:0.005017
scale 3:[100/1000], errG: -1.152794 ,output.mean(): 1.152794, rec_loss:0.004605
scale 3:[125/1000], errG: -1.137672 ,output.mean(): 1.137672, rec_loss:0.003584
scale 3:[150/1000], errG: -1.151522 ,output.mean(): 1.151522, rec_loss:0.002627
scale 3:[175/1000], errG: -1.197057 ,output.mean(): 1.197057, rec_loss:0.002586
scale 3:[200/1000], errG: -1.243967 ,output.mean(): 1.243967, rec_loss:0.002338
scale 3:[225/1000], errG: -1.246860 ,output.mean(): 1.246860, rec_loss:0.002177
scale 3:[250/1000], errG: -1.364610 ,output.mean(): 1.364610, rec_loss:0.002217
scale 3:[275/1000], errG: -1.354690 ,output.mean(): 1.354690, rec_loss:0.002047
scale 3:[300/1000], errG: -1.362387 ,output.mean(): 1.362387, rec_loss:0.002108
scale 3:[325/1000], errG: -1.473150 ,output.mean(): 1.473150, rec_loss:0.001958
scale 3:[350/1000], errG: -1.435897 ,output.mean(): 1.435897, rec_loss:0.001809
scale 3:[375/1000], errG: -1.416210 ,output.mean(): 1.416210, rec_loss:0.002079
scale 3:[400/1000], errG: -1.458330 ,output.mean(): 1.458330, rec_loss:0.001685
scale 3:[425/1000], errG: -1.423497 ,output.mean(): 1.423497, rec_loss:0.001563
scale 3:[450/1000], errG: -1.393005 ,output.mean(): 1.393005, rec_loss:0.001533
scale 3:[475/1000], errG: -1.458188 ,output.mean(): 1.458188, rec_loss:0.001506
scale 3:[500/1000], errG: -1.400532 ,output.mean(): 1.400532, rec_loss:0.001504
scale 3:[525/1000], errG: -1.400116 ,output.mean(): 1.400116, rec_loss:0.001524
scale 3:[550/1000], errG: -1.491470 ,output.mean(): 1.491470, rec_loss:0.001440
scale 3:[575/1000], errG: -1.422661 ,output.mean(): 1.422661, rec_loss:0.001532
scale 3:[600/1000], errG: -1.433094 ,output.mean(): 1.433094, rec_loss:0.001316
scale 3:[625/1000], errG: -1.467975 ,output.mean(): 1.467975, rec_loss:0.001592
scale 3:[650/1000], errG: -1.457898 ,output.mean(): 1.457898, rec_loss:0.001272
scale 3:[675/1000], errG: -1.474458 ,output.mean(): 1.474458, rec_loss:0.001419
scale 3:[700/1000], errG: -1.538478 ,output.mean(): 1.538478, rec_loss:0.001359
scale 3:[725/1000], errG: -1.512118 ,output.mean(): 1.512118, rec_loss:0.001437
scale 3:[750/1000], errG: -1.540528 ,output.mean(): 1.540528, rec_loss:0.001261
scale 3:[775/1000], errG: -1.578889 ,output.mean(): 1.578889, rec_loss:0.001453
scale 3:[800/1000], errG: -1.589293 ,output.mean(): 1.589293, rec_loss:0.001267
scale 3:[825/1000], errG: -1.604037 ,output.mean(): 1.604037, rec_loss:0.001207
scale 3:[850/1000], errG: -1.481826 ,output.mean(): 1.481826, rec_loss:0.001230
scale 3:[875/1000], errG: -1.538093 ,output.mean(): 1.538093, rec_loss:0.001259
scale 3:[900/1000], errG: -1.565951 ,output.mean(): 1.565951, rec_loss:0.001312
scale 3:[925/1000], errG: -1.523119 ,output.mean(): 1.523119, rec_loss:0.001287
scale 3:[950/1000], errG: -1.495833 ,output.mean(): 1.495833, rec_loss:0.001127
scale 3:[975/1000], errG: -1.474858 ,output.mean(): 1.474858, rec_loss:0.001212
scale 3:[999/1000], errG: -1.486955 ,output.mean(): 1.486955, rec_loss:0.001138
Scale: 3, realD_loss: 0.000000 
alpha:20
scale 4:[0/1000], errG: 0.113599 ,output.mean(): -0.113599, rec_loss:0.507164
scale 4:[25/1000], errG: 0.072064 ,output.mean(): -0.072064, rec_loss:0.040482
scale 4:[50/1000], errG: 0.154687 ,output.mean(): -0.154687, rec_loss:0.042386
scale 4:[75/1000], errG: 0.036800 ,output.mean(): -0.036800, rec_loss:0.032276
scale 4:[100/1000], errG: 0.014805 ,output.mean(): -0.014805, rec_loss:0.025916
scale 4:[125/1000], errG: 0.001430 ,output.mean(): -0.001430, rec_loss:0.019657
scale 4:[150/1000], errG: 0.051261 ,output.mean(): -0.051261, rec_loss:0.024480
scale 4:[175/1000], errG: 0.030241 ,output.mean(): -0.030241, rec_loss:0.010889
scale 4:[200/1000], errG: 0.014176 ,output.mean(): -0.014176, rec_loss:0.012912
scale 4:[225/1000], errG: -0.020154 ,output.mean(): 0.020154, rec_loss:0.013165
scale 4:[250/1000], errG: 0.022749 ,output.mean(): -0.022749, rec_loss:0.012161
scale 4:[275/1000], errG: -0.012793 ,output.mean(): 0.012793, rec_loss:0.006404
scale 4:[300/1000], errG: -0.025853 ,output.mean(): 0.025853, rec_loss:0.008214
scale 4:[325/1000], errG: -0.037221 ,output.mean(): 0.037221, rec_loss:0.007606
scale 4:[350/1000], errG: 0.000329 ,output.mean(): -0.000329, rec_loss:0.005130
scale 4:[375/1000], errG: -0.057990 ,output.mean(): 0.057990, rec_loss:0.004695
scale 4:[400/1000], errG: 0.000719 ,output.mean(): -0.000719, rec_loss:0.027829
scale 4:[425/1000], errG: -0.030529 ,output.mean(): 0.030529, rec_loss:0.011260
scale 4:[450/1000], errG: -0.053307 ,output.mean(): 0.053307, rec_loss:0.005939
scale 4:[475/1000], errG: 0.021888 ,output.mean(): -0.021888, rec_loss:0.004890
scale 4:[500/1000], errG: -0.097670 ,output.mean(): 0.097670, rec_loss:0.003741
scale 4:[525/1000], errG: -0.046928 ,output.mean(): 0.046928, rec_loss:0.003468
scale 4:[550/1000], errG: -0.034320 ,output.mean(): 0.034320, rec_loss:0.003489
scale 4:[575/1000], errG: -0.008700 ,output.mean(): 0.008700, rec_loss:0.002927
scale 4:[600/1000], errG: -0.040246 ,output.mean(): 0.040246, rec_loss:0.002724
scale 4:[625/1000], errG: 0.082199 ,output.mean(): -0.082199, rec_loss:0.002557
scale 4:[650/1000], errG: 0.078624 ,output.mean(): -0.078624, rec_loss:0.002407
