seed-> 12
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=12, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='50.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='09:02:06')
alpha:20
scale 0:[0/1000], errG: 0.178570 ,output.mean(): -0.178570, rec_loss:6.456553
scale 0:[25/1000], errG: 0.222202 ,output.mean(): -0.222202, rec_loss:0.591309
scale 0:[50/1000], errG: 0.251160 ,output.mean(): -0.251160, rec_loss:0.589704
scale 0:[75/1000], errG: 0.245729 ,output.mean(): -0.245729, rec_loss:0.586031
scale 0:[100/1000], errG: 0.207493 ,output.mean(): -0.207493, rec_loss:0.617755
scale 0:[125/1000], errG: 0.275287 ,output.mean(): -0.275287, rec_loss:0.611472
scale 0:[150/1000], errG: 0.207932 ,output.mean(): -0.207932, rec_loss:0.598693
scale 0:[175/1000], errG: 0.315008 ,output.mean(): -0.315008, rec_loss:0.609353
scale 0:[200/1000], errG: 0.319949 ,output.mean(): -0.319949, rec_loss:0.651974
scale 0:[225/1000], errG: 0.343747 ,output.mean(): -0.343747, rec_loss:0.600119
scale 0:[250/1000], errG: 0.365034 ,output.mean(): -0.365034, rec_loss:0.629301
scale 0:[275/1000], errG: 0.263924 ,output.mean(): -0.263924, rec_loss:0.608396
scale 0:[300/1000], errG: 0.399337 ,output.mean(): -0.399337, rec_loss:0.637239
scale 0:[325/1000], errG: 0.346227 ,output.mean(): -0.346227, rec_loss:0.636806
scale 0:[350/1000], errG: 0.410942 ,output.mean(): -0.410942, rec_loss:0.608311
scale 0:[375/1000], errG: 0.319602 ,output.mean(): -0.319602, rec_loss:0.602659
