seed-> 6135
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6135, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='50.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='18:28:57')
alpha:20
scale 0:[0/1000], errG: 0.165235 , errGfrozen : 0.063747, rec_loss:3.688223
scale 0:[25/1000], errG: 0.073103 , errGfrozen : 0.062343, rec_loss:0.584983
scale 0:[50/1000], errG: 0.008982 , errGfrozen : 0.073866, rec_loss:0.573686
scale 0:[75/1000], errG: 0.062681 , errGfrozen : 0.062394, rec_loss:0.573922
scale 0:[100/1000], errG: 0.166237 , errGfrozen : 0.069605, rec_loss:0.590017
scale 0:[125/1000], errG: 0.092117 , errGfrozen : 0.078952, rec_loss:0.617713
scale 0:[150/1000], errG: 0.225131 , errGfrozen : 0.077743, rec_loss:0.622033
scale 0:[175/1000], errG: 0.017124 , errGfrozen : 0.066237, rec_loss:0.597967
scale 0:[200/1000], errG: 0.174411 , errGfrozen : 0.071777, rec_loss:0.601560
scale 0:[225/1000], errG: 0.197133 , errGfrozen : 0.068428, rec_loss:0.596941
scale 0:[250/1000], errG: 0.214762 , errGfrozen : 0.063220, rec_loss:0.568628
scale 0:[275/1000], errG: 0.201642 , errGfrozen : 0.076847, rec_loss:0.595951
scale 0:[300/1000], errG: 0.234711 , errGfrozen : 0.072224, rec_loss:0.601719
scale 0:[325/1000], errG: 0.382561 , errGfrozen : 0.071128, rec_loss:0.575222
scale 0:[350/1000], errG: 0.195408 , errGfrozen : 0.072497, rec_loss:0.651558
scale 0:[375/1000], errG: 0.201268 , errGfrozen : 0.075933, rec_loss:0.611511
scale 0:[400/1000], errG: 0.130624 , errGfrozen : 0.068673, rec_loss:0.653880
scale 0:[425/1000], errG: 0.192536 , errGfrozen : 0.070139, rec_loss:0.654877
scale 0:[450/1000], errG: 0.079754 , errGfrozen : 0.069382, rec_loss:0.614900
scale 0:[475/1000], errG: 0.057263 , errGfrozen : 0.064340, rec_loss:0.624715
scale 0:[500/1000], errG: 0.033395 , errGfrozen : 0.079400, rec_loss:0.592946
scale 0:[525/1000], errG: -0.062618 , errGfrozen : 0.063848, rec_loss:0.643984
