seed-> 1191
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=1191, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=260, train_on_last_scale=0, training_name='', tx='20:10:33')
alpha:20
scale 0:[0/1000], errG: 0.026275 ,output.mean(): -0.026275, rec_loss:4.283880
scale 0:[25/1000], errG: 0.646766 ,output.mean(): -0.646766, rec_loss:0.000696
scale 0:[50/1000], errG: 0.255873 ,output.mean(): -0.255873, rec_loss:0.000817
scale 0:[75/1000], errG: 0.084561 ,output.mean(): -0.084561, rec_loss:0.001812
scale 0:[100/1000], errG: 0.044517 ,output.mean(): -0.044517, rec_loss:0.000483
scale 0:[125/1000], errG: -0.005257 ,output.mean(): 0.005257, rec_loss:0.000329
scale 0:[150/1000], errG: 0.016340 ,output.mean(): -0.016340, rec_loss:0.000565
scale 0:[175/1000], errG: 0.042360 ,output.mean(): -0.042360, rec_loss:0.000746
scale 0:[200/1000], errG: 0.055484 ,output.mean(): -0.055484, rec_loss:0.000340
scale 0:[225/1000], errG: 0.042124 ,output.mean(): -0.042124, rec_loss:0.000572
scale 0:[250/1000], errG: -0.066435 ,output.mean(): 0.066435, rec_loss:0.000200
scale 0:[275/1000], errG: -0.063325 ,output.mean(): 0.063325, rec_loss:0.000014
scale 0:[300/1000], errG: -0.067577 ,output.mean(): 0.067577, rec_loss:0.000151
scale 0:[325/1000], errG: -0.066690 ,output.mean(): 0.066690, rec_loss:0.000055
scale 0:[350/1000], errG: 0.331388 ,output.mean(): -0.331388, rec_loss:0.000001
scale 0:[375/1000], errG: 0.183362 ,output.mean(): -0.183362, rec_loss:0.000225
scale 0:[400/1000], errG: -0.036539 ,output.mean(): 0.036539, rec_loss:0.000004
scale 0:[425/1000], errG: -0.079368 ,output.mean(): 0.079368, rec_loss:0.001571
scale 0:[450/1000], errG: -0.110864 ,output.mean(): 0.110864, rec_loss:0.000016
scale 0:[475/1000], errG: -0.145243 ,output.mean(): 0.145243, rec_loss:0.000002
scale 0:[500/1000], errG: -0.170698 ,output.mean(): 0.170698, rec_loss:0.000000
scale 0:[525/1000], errG: -0.166952 ,output.mean(): 0.166952, rec_loss:0.000000
scale 0:[550/1000], errG: -0.200116 ,output.mean(): 0.200116, rec_loss:0.000136
scale 0:[575/1000], errG: -0.234020 ,output.mean(): 0.234020, rec_loss:0.000680
scale 0:[600/1000], errG: -0.257759 ,output.mean(): 0.257759, rec_loss:0.000414
scale 0:[625/1000], errG: -0.269695 ,output.mean(): 0.269695, rec_loss:0.000834
scale 0:[650/1000], errG: -0.293532 ,output.mean(): 0.293532, rec_loss:0.000619
scale 0:[675/1000], errG: -0.308084 ,output.mean(): 0.308084, rec_loss:0.000019
scale 0:[700/1000], errG: -0.325197 ,output.mean(): 0.325197, rec_loss:0.000109
scale 0:[725/1000], errG: -0.340314 ,output.mean(): 0.340314, rec_loss:0.000110
scale 0:[750/1000], errG: -0.348062 ,output.mean(): 0.348062, rec_loss:0.000053
scale 0:[775/1000], errG: -0.357172 ,output.mean(): 0.357172, rec_loss:0.000000
scale 0:[800/1000], errG: -0.370884 ,output.mean(): 0.370884, rec_loss:0.000167
scale 0:[825/1000], errG: -0.245102 ,output.mean(): 0.245102, rec_loss:0.000000
scale 0:[850/1000], errG: -0.269091 ,output.mean(): 0.269091, rec_loss:0.000000
scale 0:[875/1000], errG: -0.275636 ,output.mean(): 0.275636, rec_loss:0.000000
scale 0:[900/1000], errG: -0.272816 ,output.mean(): 0.272816, rec_loss:0.000000
scale 0:[925/1000], errG: -0.294098 ,output.mean(): 0.294098, rec_loss:0.000000
scale 0:[950/1000], errG: -0.297660 ,output.mean(): 0.297660, rec_loss:0.000000
scale 0:[975/1000], errG: -0.305358 ,output.mean(): 0.305358, rec_loss:0.000000
scale 0:[999/1000], errG: -0.319432 ,output.mean(): 0.319432, rec_loss:0.000000
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: -0.289998 ,output.mean(): 0.289998, rec_loss:19.697130
scale 1:[25/1000], errG: -0.234740 ,output.mean(): 0.234740, rec_loss:0.000002
scale 1:[50/1000], errG: -0.222524 ,output.mean(): 0.222524, rec_loss:0.000000
scale 1:[75/1000], errG: -0.208915 ,output.mean(): 0.208915, rec_loss:0.000022
scale 1:[100/1000], errG: -0.201348 ,output.mean(): 0.201348, rec_loss:0.000000
scale 1:[125/1000], errG: -0.189043 ,output.mean(): 0.189043, rec_loss:0.000001
scale 1:[150/1000], errG: -0.149094 ,output.mean(): 0.149094, rec_loss:0.219235
scale 1:[175/1000], errG: -0.075575 ,output.mean(): 0.075575, rec_loss:0.003186
scale 1:[200/1000], errG: -0.077092 ,output.mean(): 0.077092, rec_loss:0.000001
scale 1:[225/1000], errG: -0.220219 ,output.mean(): 0.220219, rec_loss:0.000014
scale 1:[250/1000], errG: -0.336382 ,output.mean(): 0.336382, rec_loss:0.000000
scale 1:[275/1000], errG: -0.372852 ,output.mean(): 0.372852, rec_loss:0.000000
scale 1:[300/1000], errG: -0.386576 ,output.mean(): 0.386576, rec_loss:0.001604
scale 1:[325/1000], errG: -0.434388 ,output.mean(): 0.434388, rec_loss:0.000000
scale 1:[350/1000], errG: -0.240354 ,output.mean(): 0.240354, rec_loss:0.000324
scale 1:[375/1000], errG: -0.245041 ,output.mean(): 0.245041, rec_loss:0.008900
scale 1:[400/1000], errG: -0.241649 ,output.mean(): 0.241649, rec_loss:0.000506
scale 1:[425/1000], errG: -0.148384 ,output.mean(): 0.148384, rec_loss:0.000000
