seed-> 563
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=563, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='12:10:45')
alpha:20
scale 0:[0/1000], errG: 0.044332 ,output.mean(): -0.044332, rec_loss:0.000000
scale 0:[25/1000], errG: -0.076481 ,output.mean(): 0.076481, rec_loss:0.000000
scale 0:[50/1000], errG: -0.177433 ,output.mean(): 0.177433, rec_loss:0.000000
scale 0:[75/1000], errG: -0.127404 ,output.mean(): 0.127404, rec_loss:0.000000
scale 0:[100/1000], errG: -0.094700 ,output.mean(): 0.094700, rec_loss:0.000000
scale 0:[125/1000], errG: -0.041060 ,output.mean(): 0.041060, rec_loss:0.000000
scale 0:[150/1000], errG: -0.038719 ,output.mean(): 0.038719, rec_loss:0.000000
scale 0:[175/1000], errG: 0.025115 ,output.mean(): -0.025115, rec_loss:0.000000
scale 0:[200/1000], errG: 0.016119 ,output.mean(): -0.016119, rec_loss:0.000000
scale 0:[225/1000], errG: 0.017952 ,output.mean(): -0.017952, rec_loss:0.000000
scale 0:[250/1000], errG: -0.017731 ,output.mean(): 0.017731, rec_loss:0.000000
scale 0:[275/1000], errG: -0.018114 ,output.mean(): 0.018114, rec_loss:0.000000
scale 0:[300/1000], errG: -0.015649 ,output.mean(): 0.015649, rec_loss:0.000000
scale 0:[325/1000], errG: 0.043428 ,output.mean(): -0.043428, rec_loss:0.000000
scale 0:[350/1000], errG: 0.020679 ,output.mean(): -0.020679, rec_loss:0.000000
scale 0:[375/1000], errG: 0.045428 ,output.mean(): -0.045428, rec_loss:0.000000
scale 0:[400/1000], errG: -0.043851 ,output.mean(): 0.043851, rec_loss:0.000000
scale 0:[425/1000], errG: 0.032668 ,output.mean(): -0.032668, rec_loss:0.000000
scale 0:[450/1000], errG: 0.017889 ,output.mean(): -0.017889, rec_loss:0.000000
scale 0:[475/1000], errG: -0.001739 ,output.mean(): 0.001739, rec_loss:0.000000
scale 0:[500/1000], errG: 0.002506 ,output.mean(): -0.002506, rec_loss:0.000000
scale 0:[525/1000], errG: 0.017331 ,output.mean(): -0.017331, rec_loss:0.000000
scale 0:[550/1000], errG: 0.011437 ,output.mean(): -0.011437, rec_loss:0.000000
scale 0:[575/1000], errG: -0.046862 ,output.mean(): 0.046862, rec_loss:0.000000
scale 0:[600/1000], errG: 0.044545 ,output.mean(): -0.044545, rec_loss:0.000000
scale 0:[625/1000], errG: 0.031085 ,output.mean(): -0.031085, rec_loss:0.000000
scale 0:[650/1000], errG: 0.009760 ,output.mean(): -0.009760, rec_loss:0.000000
scale 0:[675/1000], errG: 0.032064 ,output.mean(): -0.032064, rec_loss:0.000000
scale 0:[700/1000], errG: -0.005653 ,output.mean(): 0.005653, rec_loss:0.000000
scale 0:[725/1000], errG: 0.010472 ,output.mean(): -0.010472, rec_loss:0.000000
scale 0:[750/1000], errG: -0.003873 ,output.mean(): 0.003873, rec_loss:0.000000
scale 0:[775/1000], errG: 0.011129 ,output.mean(): -0.011129, rec_loss:0.000000
scale 0:[800/1000], errG: -0.024948 ,output.mean(): 0.024948, rec_loss:0.000000
scale 0:[825/1000], errG: -0.022760 ,output.mean(): 0.022760, rec_loss:0.000000
scale 0:[850/1000], errG: -0.020148 ,output.mean(): 0.020148, rec_loss:0.000000
scale 0:[875/1000], errG: -0.056019 ,output.mean(): 0.056019, rec_loss:0.000000
scale 0:[900/1000], errG: -0.032392 ,output.mean(): 0.032392, rec_loss:0.000000
scale 0:[925/1000], errG: -0.033116 ,output.mean(): 0.033116, rec_loss:0.000000
scale 0:[950/1000], errG: -0.028687 ,output.mean(): 0.028687, rec_loss:0.000000
scale 0:[975/1000], errG: -0.052749 ,output.mean(): 0.052749, rec_loss:0.000000
scale 0:[999/1000], errG: -0.035311 ,output.mean(): 0.035311, rec_loss:0.000000
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: -0.088008 ,output.mean(): 0.088008, rec_loss:0.000000
scale 1:[25/1000], errG: -0.192991 ,output.mean(): 0.192991, rec_loss:0.000000
scale 1:[50/1000], errG: -0.294031 ,output.mean(): 0.294031, rec_loss:0.000000
scale 1:[75/1000], errG: -0.234804 ,output.mean(): 0.234804, rec_loss:0.000000
scale 1:[100/1000], errG: -0.244491 ,output.mean(): 0.244491, rec_loss:0.000000
scale 1:[125/1000], errG: -0.329894 ,output.mean(): 0.329894, rec_loss:0.000000
scale 1:[150/1000], errG: -0.407261 ,output.mean(): 0.407261, rec_loss:0.000000
scale 1:[175/1000], errG: -0.375432 ,output.mean(): 0.375432, rec_loss:0.000000
scale 1:[200/1000], errG: -0.209817 ,output.mean(): 0.209817, rec_loss:0.000000
scale 1:[225/1000], errG: -0.245155 ,output.mean(): 0.245155, rec_loss:0.000000
scale 1:[250/1000], errG: -0.169359 ,output.mean(): 0.169359, rec_loss:0.000000
scale 1:[275/1000], errG: -0.262734 ,output.mean(): 0.262734, rec_loss:0.000000
scale 1:[300/1000], errG: -0.233228 ,output.mean(): 0.233228, rec_loss:0.000000
scale 1:[325/1000], errG: -0.271265 ,output.mean(): 0.271265, rec_loss:0.000000
scale 1:[350/1000], errG: -0.319949 ,output.mean(): 0.319949, rec_loss:0.000000
scale 1:[375/1000], errG: -0.409461 ,output.mean(): 0.409461, rec_loss:0.000000
scale 1:[400/1000], errG: -0.329401 ,output.mean(): 0.329401, rec_loss:0.000000
scale 1:[425/1000], errG: -0.385023 ,output.mean(): 0.385023, rec_loss:0.000000
scale 1:[450/1000], errG: -0.395292 ,output.mean(): 0.395292, rec_loss:0.000000
scale 1:[475/1000], errG: -0.454165 ,output.mean(): 0.454165, rec_loss:0.000000
scale 1:[500/1000], errG: -0.509265 ,output.mean(): 0.509265, rec_loss:0.000000
scale 1:[525/1000], errG: -0.519857 ,output.mean(): 0.519857, rec_loss:0.000000
scale 1:[550/1000], errG: -0.515178 ,output.mean(): 0.515178, rec_loss:0.000000
scale 1:[575/1000], errG: -0.466747 ,output.mean(): 0.466747, rec_loss:0.000000
scale 1:[600/1000], errG: -0.489669 ,output.mean(): 0.489669, rec_loss:0.000000
scale 1:[625/1000], errG: -0.516762 ,output.mean(): 0.516762, rec_loss:0.000000
scale 1:[650/1000], errG: -0.496460 ,output.mean(): 0.496460, rec_loss:0.000000
scale 1:[675/1000], errG: -0.334965 ,output.mean(): 0.334965, rec_loss:0.000000
scale 1:[700/1000], errG: -0.398484 ,output.mean(): 0.398484, rec_loss:0.000000
scale 1:[725/1000], errG: -0.387397 ,output.mean(): 0.387397, rec_loss:0.000000
scale 1:[750/1000], errG: -0.342198 ,output.mean(): 0.342198, rec_loss:0.000000
scale 1:[775/1000], errG: -0.343062 ,output.mean(): 0.343062, rec_loss:0.000000
scale 1:[800/1000], errG: -0.209777 ,output.mean(): 0.209777, rec_loss:0.000000
scale 1:[825/1000], errG: -0.137824 ,output.mean(): 0.137824, rec_loss:0.000000
scale 1:[850/1000], errG: -0.075449 ,output.mean(): 0.075449, rec_loss:0.000000
scale 1:[875/1000], errG: -0.050484 ,output.mean(): 0.050484, rec_loss:0.000000
scale 1:[900/1000], errG: -0.081255 ,output.mean(): 0.081255, rec_loss:0.000000
scale 1:[925/1000], errG: -0.036384 ,output.mean(): 0.036384, rec_loss:0.000000
scale 1:[950/1000], errG: -0.026841 ,output.mean(): 0.026841, rec_loss:0.000000
scale 1:[975/1000], errG: -0.003147 ,output.mean(): 0.003147, rec_loss:0.000000
scale 1:[999/1000], errG: -0.039223 ,output.mean(): 0.039223, rec_loss:0.000000
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: 0.045051 ,output.mean(): -0.045051, rec_loss:0.000000
scale 2:[25/1000], errG: -0.033455 ,output.mean(): 0.033455, rec_loss:0.000000
scale 2:[50/1000], errG: 0.032655 ,output.mean(): -0.032655, rec_loss:0.000000
scale 2:[75/1000], errG: 0.215483 ,output.mean(): -0.215483, rec_loss:0.000000
scale 2:[100/1000], errG: 0.202255 ,output.mean(): -0.202255, rec_loss:0.000000
scale 2:[125/1000], errG: 0.268365 ,output.mean(): -0.268365, rec_loss:0.000000
scale 2:[150/1000], errG: 0.319064 ,output.mean(): -0.319064, rec_loss:0.000000
scale 2:[175/1000], errG: 0.245531 ,output.mean(): -0.245531, rec_loss:0.000000
scale 2:[200/1000], errG: 0.295849 ,output.mean(): -0.295849, rec_loss:0.000000
scale 2:[225/1000], errG: 0.279115 ,output.mean(): -0.279115, rec_loss:0.000000
scale 2:[250/1000], errG: 0.437444 ,output.mean(): -0.437444, rec_loss:0.000000
scale 2:[275/1000], errG: 0.219508 ,output.mean(): -0.219508, rec_loss:0.000000
scale 2:[300/1000], errG: 0.400817 ,output.mean(): -0.400817, rec_loss:0.000000
scale 2:[325/1000], errG: 0.214332 ,output.mean(): -0.214332, rec_loss:0.000000
scale 2:[350/1000], errG: 0.478686 ,output.mean(): -0.478686, rec_loss:0.000000
scale 2:[375/1000], errG: 0.460473 ,output.mean(): -0.460473, rec_loss:0.000000
scale 2:[400/1000], errG: 0.487126 ,output.mean(): -0.487126, rec_loss:0.000000
scale 2:[425/1000], errG: 0.433413 ,output.mean(): -0.433413, rec_loss:0.000000
scale 2:[450/1000], errG: 0.626711 ,output.mean(): -0.626711, rec_loss:0.000000
scale 2:[475/1000], errG: 0.672867 ,output.mean(): -0.672867, rec_loss:0.000000
scale 2:[500/1000], errG: 0.773966 ,output.mean(): -0.773966, rec_loss:0.000000
scale 2:[525/1000], errG: 0.971774 ,output.mean(): -0.971774, rec_loss:0.000000
scale 2:[550/1000], errG: 0.679025 ,output.mean(): -0.679025, rec_loss:0.000000
scale 2:[575/1000], errG: 0.622536 ,output.mean(): -0.622536, rec_loss:0.000000
scale 2:[600/1000], errG: 0.508748 ,output.mean(): -0.508748, rec_loss:0.000000
scale 2:[625/1000], errG: 0.675435 ,output.mean(): -0.675435, rec_loss:0.000000
scale 2:[650/1000], errG: 0.701375 ,output.mean(): -0.701375, rec_loss:0.000000
scale 2:[675/1000], errG: 0.674034 ,output.mean(): -0.674034, rec_loss:0.000000
scale 2:[700/1000], errG: 0.753145 ,output.mean(): -0.753145, rec_loss:0.000000
scale 2:[725/1000], errG: 0.549628 ,output.mean(): -0.549628, rec_loss:0.000000
scale 2:[750/1000], errG: 0.716657 ,output.mean(): -0.716657, rec_loss:0.000000
scale 2:[775/1000], errG: 0.820926 ,output.mean(): -0.820926, rec_loss:0.000000
scale 2:[800/1000], errG: 0.892097 ,output.mean(): -0.892097, rec_loss:0.000000
scale 2:[825/1000], errG: 0.978344 ,output.mean(): -0.978344, rec_loss:0.000000
scale 2:[850/1000], errG: 1.072693 ,output.mean(): -1.072693, rec_loss:0.000000
scale 2:[875/1000], errG: 0.901250 ,output.mean(): -0.901250, rec_loss:0.000000
scale 2:[900/1000], errG: 0.855008 ,output.mean(): -0.855008, rec_loss:0.000000
scale 2:[925/1000], errG: 1.054626 ,output.mean(): -1.054626, rec_loss:0.000000
scale 2:[950/1000], errG: 1.040754 ,output.mean(): -1.040754, rec_loss:0.000000
scale 2:[975/1000], errG: 1.092185 ,output.mean(): -1.092185, rec_loss:0.000000
scale 2:[999/1000], errG: 0.786699 ,output.mean(): -0.786699, rec_loss:0.000000
Scale: 2, realD_loss: 0.000000 
alpha:20
scale 3:[0/1000], errG: 0.755267 ,output.mean(): -0.755267, rec_loss:0.000000
scale 3:[25/1000], errG: 0.422906 ,output.mean(): -0.422906, rec_loss:0.000000
scale 3:[50/1000], errG: 0.564450 ,output.mean(): -0.564450, rec_loss:0.000000
scale 3:[75/1000], errG: 0.590909 ,output.mean(): -0.590909, rec_loss:0.000000
scale 3:[100/1000], errG: 0.686310 ,output.mean(): -0.686310, rec_loss:0.000000
scale 3:[125/1000], errG: 0.671940 ,output.mean(): -0.671940, rec_loss:0.000000
scale 3:[150/1000], errG: 0.873262 ,output.mean(): -0.873262, rec_loss:0.000000
scale 3:[175/1000], errG: 0.819989 ,output.mean(): -0.819989, rec_loss:0.000000
