seed-> 788
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=788, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='177_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='17:47:42')
alpha:20
scale 0:[0/1000], errG: 0.178342 ,output.mean(): -0.178342, rec_loss:5.052311
scale 0:[25/1000], errG: 0.099353 ,output.mean(): -0.099353, rec_loss:0.086293
scale 0:[50/1000], errG: 0.110301 ,output.mean(): -0.110301, rec_loss:0.074768
scale 0:[75/1000], errG: 0.091327 ,output.mean(): -0.091327, rec_loss:0.075770
scale 0:[100/1000], errG: 0.074282 ,output.mean(): -0.074282, rec_loss:0.069785
scale 0:[125/1000], errG: 0.051004 ,output.mean(): -0.051004, rec_loss:0.069564
scale 0:[150/1000], errG: 0.101038 ,output.mean(): -0.101038, rec_loss:0.071237
scale 0:[175/1000], errG: 0.201451 ,output.mean(): -0.201451, rec_loss:0.069377
scale 0:[200/1000], errG: 0.147952 ,output.mean(): -0.147952, rec_loss:0.084808
scale 0:[225/1000], errG: 0.185092 ,output.mean(): -0.185092, rec_loss:0.076445
scale 0:[250/1000], errG: 0.150484 ,output.mean(): -0.150484, rec_loss:0.076517
scale 0:[275/1000], errG: 0.079048 ,output.mean(): -0.079048, rec_loss:0.075602
scale 0:[300/1000], errG: 0.032155 ,output.mean(): -0.032155, rec_loss:0.075711
scale 0:[325/1000], errG: 0.055473 ,output.mean(): -0.055473, rec_loss:0.067643
scale 0:[350/1000], errG: 0.044453 ,output.mean(): -0.044453, rec_loss:0.074648
scale 0:[375/1000], errG: 0.107607 ,output.mean(): -0.107607, rec_loss:0.067832
scale 0:[400/1000], errG: 0.064366 ,output.mean(): -0.064366, rec_loss:0.065499
scale 0:[425/1000], errG: 0.031069 ,output.mean(): -0.031069, rec_loss:0.078245
scale 0:[450/1000], errG: 0.035190 ,output.mean(): -0.035190, rec_loss:0.073735
scale 0:[475/1000], errG: 0.060710 ,output.mean(): -0.060710, rec_loss:0.072351
scale 0:[500/1000], errG: 0.038364 ,output.mean(): -0.038364, rec_loss:0.082154
scale 0:[525/1000], errG: -0.010378 ,output.mean(): 0.010378, rec_loss:0.071105
scale 0:[550/1000], errG: 0.030291 ,output.mean(): -0.030291, rec_loss:0.071123
scale 0:[575/1000], errG: -0.025985 ,output.mean(): 0.025985, rec_loss:0.069242
scale 0:[600/1000], errG: -0.023021 ,output.mean(): 0.023021, rec_loss:0.066274
scale 0:[625/1000], errG: -0.012420 ,output.mean(): 0.012420, rec_loss:0.074393
scale 0:[650/1000], errG: -0.012128 ,output.mean(): 0.012128, rec_loss:0.070230
scale 0:[675/1000], errG: 0.013454 ,output.mean(): -0.013454, rec_loss:0.062018
scale 0:[700/1000], errG: -0.015141 ,output.mean(): 0.015141, rec_loss:0.077366
scale 0:[725/1000], errG: -0.010025 ,output.mean(): 0.010025, rec_loss:0.067819
scale 0:[750/1000], errG: -0.049088 ,output.mean(): 0.049088, rec_loss:0.070539
scale 0:[775/1000], errG: -0.081902 ,output.mean(): 0.081902, rec_loss:0.074543
scale 0:[800/1000], errG: -0.042809 ,output.mean(): 0.042809, rec_loss:0.071558
scale 0:[825/1000], errG: -0.058086 ,output.mean(): 0.058086, rec_loss:0.066513
scale 0:[850/1000], errG: -0.054840 ,output.mean(): 0.054840, rec_loss:0.069015
scale 0:[875/1000], errG: -0.023466 ,output.mean(): 0.023466, rec_loss:0.072187
scale 0:[900/1000], errG: 0.001131 ,output.mean(): -0.001131, rec_loss:0.062574
scale 0:[925/1000], errG: -0.007989 ,output.mean(): 0.007989, rec_loss:0.070857
scale 0:[950/1000], errG: 0.007028 ,output.mean(): -0.007028, rec_loss:0.069614
scale 0:[975/1000], errG: -0.049020 ,output.mean(): 0.049020, rec_loss:0.061846
scale 0:[999/1000], errG: -0.037319 ,output.mean(): 0.037319, rec_loss:0.072495
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: 0.054016 ,output.mean(): -0.054016, rec_loss:5.191713
scale 1:[25/1000], errG: 0.049332 ,output.mean(): -0.049332, rec_loss:0.100169
scale 1:[50/1000], errG: 0.062207 ,output.mean(): -0.062207, rec_loss:0.088192
scale 1:[75/1000], errG: 0.031650 ,output.mean(): -0.031650, rec_loss:0.087328
scale 1:[100/1000], errG: 0.064121 ,output.mean(): -0.064121, rec_loss:0.083738
scale 1:[125/1000], errG: 0.050457 ,output.mean(): -0.050457, rec_loss:0.067269
scale 1:[150/1000], errG: -0.066733 ,output.mean(): 0.066733, rec_loss:0.065675
scale 1:[175/1000], errG: -0.071571 ,output.mean(): 0.071571, rec_loss:0.050755
scale 1:[200/1000], errG: -0.212276 ,output.mean(): 0.212276, rec_loss:0.040751
scale 1:[225/1000], errG: -0.277941 ,output.mean(): 0.277941, rec_loss:0.037764
scale 1:[250/1000], errG: -0.463816 ,output.mean(): 0.463816, rec_loss:0.033565
scale 1:[275/1000], errG: -0.465131 ,output.mean(): 0.465131, rec_loss:0.030502
scale 1:[300/1000], errG: -0.410761 ,output.mean(): 0.410761, rec_loss:0.032671
scale 1:[325/1000], errG: -0.487673 ,output.mean(): 0.487673, rec_loss:0.027524
scale 1:[350/1000], errG: -0.525693 ,output.mean(): 0.525693, rec_loss:0.020769
scale 1:[375/1000], errG: -0.461255 ,output.mean(): 0.461255, rec_loss:0.021619
scale 1:[400/1000], errG: -0.485033 ,output.mean(): 0.485033, rec_loss:0.023668
scale 1:[425/1000], errG: -0.500683 ,output.mean(): 0.500683, rec_loss:0.016852
scale 1:[450/1000], errG: -0.591342 ,output.mean(): 0.591342, rec_loss:0.019100
scale 1:[475/1000], errG: -0.559311 ,output.mean(): 0.559311, rec_loss:0.013504
scale 1:[500/1000], errG: -0.555159 ,output.mean(): 0.555159, rec_loss:0.016023
scale 1:[525/1000], errG: -0.531809 ,output.mean(): 0.531809, rec_loss:0.016264
scale 1:[550/1000], errG: -0.573546 ,output.mean(): 0.573546, rec_loss:0.014039
scale 1:[575/1000], errG: -0.542111 ,output.mean(): 0.542111, rec_loss:0.011923
scale 1:[600/1000], errG: -0.614411 ,output.mean(): 0.614411, rec_loss:0.012148
scale 1:[625/1000], errG: -0.680193 ,output.mean(): 0.680193, rec_loss:0.015170
scale 1:[650/1000], errG: -0.666345 ,output.mean(): 0.666345, rec_loss:0.011668
scale 1:[675/1000], errG: -0.577338 ,output.mean(): 0.577338, rec_loss:0.010789
scale 1:[700/1000], errG: -0.613549 ,output.mean(): 0.613549, rec_loss:0.011186
scale 1:[725/1000], errG: -0.574216 ,output.mean(): 0.574216, rec_loss:0.012379
scale 1:[750/1000], errG: -0.595669 ,output.mean(): 0.595669, rec_loss:0.009935
scale 1:[775/1000], errG: -0.694389 ,output.mean(): 0.694389, rec_loss:0.011831
scale 1:[800/1000], errG: -0.503646 ,output.mean(): 0.503646, rec_loss:0.008802
scale 1:[825/1000], errG: -0.668983 ,output.mean(): 0.668983, rec_loss:0.011936
scale 1:[850/1000], errG: -0.589086 ,output.mean(): 0.589086, rec_loss:0.009121
scale 1:[875/1000], errG: -0.566812 ,output.mean(): 0.566812, rec_loss:0.008173
scale 1:[900/1000], errG: -0.499668 ,output.mean(): 0.499668, rec_loss:0.008788
scale 1:[925/1000], errG: -0.567414 ,output.mean(): 0.567414, rec_loss:0.008410
scale 1:[950/1000], errG: -0.574441 ,output.mean(): 0.574441, rec_loss:0.008299
scale 1:[975/1000], errG: -0.549977 ,output.mean(): 0.549977, rec_loss:0.007716
scale 1:[999/1000], errG: -0.461060 ,output.mean(): 0.461060, rec_loss:0.007838
Scale: 1, realD_loss: 0.690617 
alpha:20
scale 2:[0/1000], errG: -0.405810 ,output.mean(): 0.405810, rec_loss:0.223155
scale 2:[25/1000], errG: -0.777343 ,output.mean(): 0.777343, rec_loss:0.095615
scale 2:[50/1000], errG: -0.889803 ,output.mean(): 0.889803, rec_loss:0.060478
