seed-> 6687
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6687, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='63.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='21:04:57')
alpha:20
scale 0:[0/1000], errG: -0.069718 ,output.mean(): 0.069718, rec_loss:9.529062
scale 0:[25/1000], errG: 0.014317 ,output.mean(): -0.014317, rec_loss:0.107094
scale 0:[50/1000], errG: 0.009071 ,output.mean(): -0.009071, rec_loss:0.106827
scale 0:[75/1000], errG: -0.004892 ,output.mean(): 0.004892, rec_loss:0.102372
scale 0:[100/1000], errG: -0.006435 ,output.mean(): 0.006435, rec_loss:0.110318
scale 0:[125/1000], errG: -0.066580 ,output.mean(): 0.066580, rec_loss:0.110787
scale 0:[150/1000], errG: 0.017728 ,output.mean(): -0.017728, rec_loss:0.102242
scale 0:[175/1000], errG: -0.020338 ,output.mean(): 0.020338, rec_loss:0.113071
scale 0:[200/1000], errG: -0.028221 ,output.mean(): 0.028221, rec_loss:0.110375
scale 0:[225/1000], errG: 0.005195 ,output.mean(): -0.005195, rec_loss:0.102921
scale 0:[250/1000], errG: 0.030867 ,output.mean(): -0.030867, rec_loss:0.100860
scale 0:[275/1000], errG: -0.058478 ,output.mean(): 0.058478, rec_loss:0.102918
scale 0:[300/1000], errG: 0.032425 ,output.mean(): -0.032425, rec_loss:0.106976
scale 0:[325/1000], errG: -0.027495 ,output.mean(): 0.027495, rec_loss:0.109626
scale 0:[350/1000], errG: 0.048329 ,output.mean(): -0.048329, rec_loss:0.108680
scale 0:[375/1000], errG: 0.006536 ,output.mean(): -0.006536, rec_loss:0.108056
scale 0:[400/1000], errG: 0.044967 ,output.mean(): -0.044967, rec_loss:0.109245
scale 0:[425/1000], errG: 0.028757 ,output.mean(): -0.028757, rec_loss:0.105517
scale 0:[450/1000], errG: 0.036906 ,output.mean(): -0.036906, rec_loss:0.104869
scale 0:[475/1000], errG: 0.043649 ,output.mean(): -0.043649, rec_loss:0.113236
scale 0:[500/1000], errG: 0.001543 ,output.mean(): -0.001543, rec_loss:0.107635
scale 0:[525/1000], errG: 0.011788 ,output.mean(): -0.011788, rec_loss:0.106935
scale 0:[550/1000], errG: 0.088754 ,output.mean(): -0.088754, rec_loss:0.102947
scale 0:[575/1000], errG: 0.106445 ,output.mean(): -0.106445, rec_loss:0.108191
scale 0:[600/1000], errG: 0.073690 ,output.mean(): -0.073690, rec_loss:0.107728
scale 0:[625/1000], errG: 0.033333 ,output.mean(): -0.033333, rec_loss:0.105044
scale 0:[650/1000], errG: 0.089450 ,output.mean(): -0.089450, rec_loss:0.106116
scale 0:[675/1000], errG: 0.085453 ,output.mean(): -0.085453, rec_loss:0.105030
scale 0:[700/1000], errG: 0.074809 ,output.mean(): -0.074809, rec_loss:0.105490
scale 0:[725/1000], errG: 0.113646 ,output.mean(): -0.113646, rec_loss:0.109099
scale 0:[750/1000], errG: 0.086093 ,output.mean(): -0.086093, rec_loss:0.103687
scale 0:[775/1000], errG: 0.051300 ,output.mean(): -0.051300, rec_loss:0.101609
scale 0:[800/1000], errG: 0.076883 ,output.mean(): -0.076883, rec_loss:0.100266
scale 0:[825/1000], errG: 0.093882 ,output.mean(): -0.093882, rec_loss:0.109153
scale 0:[850/1000], errG: 0.117579 ,output.mean(): -0.117579, rec_loss:0.107130
scale 0:[875/1000], errG: 0.101300 ,output.mean(): -0.101300, rec_loss:0.106415
scale 0:[900/1000], errG: 0.121472 ,output.mean(): -0.121472, rec_loss:0.102157
scale 0:[925/1000], errG: 0.171166 ,output.mean(): -0.171166, rec_loss:0.113785
scale 0:[950/1000], errG: 0.185679 ,output.mean(): -0.185679, rec_loss:0.103610
scale 0:[975/1000], errG: 0.174449 ,output.mean(): -0.174449, rec_loss:0.105156
scale 0:[999/1000], errG: 0.260384 ,output.mean(): -0.260384, rec_loss:0.102452
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: 0.263351 ,output.mean(): -0.263351, rec_loss:6.216013
scale 1:[25/1000], errG: 0.232845 ,output.mean(): -0.232845, rec_loss:0.242026
scale 1:[50/1000], errG: 0.235454 ,output.mean(): -0.235454, rec_loss:0.212115
scale 1:[75/1000], errG: 0.238844 ,output.mean(): -0.238844, rec_loss:0.167114
scale 1:[100/1000], errG: 0.210603 ,output.mean(): -0.210603, rec_loss:0.168812
scale 1:[125/1000], errG: 0.222854 ,output.mean(): -0.222854, rec_loss:0.101645
scale 1:[150/1000], errG: 0.273195 ,output.mean(): -0.273195, rec_loss:0.086819
scale 1:[175/1000], errG: 0.247326 ,output.mean(): -0.247326, rec_loss:0.092403
scale 1:[200/1000], errG: 0.276821 ,output.mean(): -0.276821, rec_loss:0.054886
scale 1:[225/1000], errG: 0.208134 ,output.mean(): -0.208134, rec_loss:0.055218
scale 1:[250/1000], errG: 0.195856 ,output.mean(): -0.195856, rec_loss:0.042720
scale 1:[275/1000], errG: 0.171766 ,output.mean(): -0.171766, rec_loss:0.063046
scale 1:[300/1000], errG: 0.132675 ,output.mean(): -0.132675, rec_loss:0.046123
scale 1:[325/1000], errG: 0.132488 ,output.mean(): -0.132488, rec_loss:0.037121
scale 1:[350/1000], errG: 0.074316 ,output.mean(): -0.074316, rec_loss:0.035525
scale 1:[375/1000], errG: 0.094332 ,output.mean(): -0.094332, rec_loss:0.023898
scale 1:[400/1000], errG: 0.033340 ,output.mean(): -0.033340, rec_loss:0.023071
scale 1:[425/1000], errG: 0.039583 ,output.mean(): -0.039583, rec_loss:0.025062
scale 1:[450/1000], errG: 0.057450 ,output.mean(): -0.057450, rec_loss:0.022167
scale 1:[475/1000], errG: 0.020528 ,output.mean(): -0.020528, rec_loss:0.021737
scale 1:[500/1000], errG: -0.077455 ,output.mean(): 0.077455, rec_loss:0.019526
scale 1:[525/1000], errG: -0.117982 ,output.mean(): 0.117982, rec_loss:0.018974
scale 1:[550/1000], errG: -0.094048 ,output.mean(): 0.094048, rec_loss:0.019953
scale 1:[575/1000], errG: -0.065965 ,output.mean(): 0.065965, rec_loss:0.023351
scale 1:[600/1000], errG: -0.037270 ,output.mean(): 0.037270, rec_loss:0.018991
