seed-> 7544
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/compare', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=7544, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='lr_noisy_0.1.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='00:15:57')
alpha:20
scale 0:[0/1000], errG: 0.030183 ,output.mean(): -0.030183, rec_loss:4.190606
scale 0:[25/1000], errG: 0.088786 ,output.mean(): -0.088786, rec_loss:0.151148
scale 0:[50/1000], errG: 0.089015 ,output.mean(): -0.089015, rec_loss:0.137106
scale 0:[75/1000], errG: 0.114369 ,output.mean(): -0.114369, rec_loss:0.141983
scale 0:[100/1000], errG: 0.024902 ,output.mean(): -0.024902, rec_loss:0.141957
scale 0:[125/1000], errG: 0.190404 ,output.mean(): -0.190404, rec_loss:0.131989
scale 0:[150/1000], errG: 0.043937 ,output.mean(): -0.043937, rec_loss:0.149992
scale 0:[175/1000], errG: 0.096160 ,output.mean(): -0.096160, rec_loss:0.141874
scale 0:[200/1000], errG: 0.249636 ,output.mean(): -0.249636, rec_loss:0.154563
scale 0:[225/1000], errG: 0.266115 ,output.mean(): -0.266115, rec_loss:0.130697
scale 0:[250/1000], errG: 0.204026 ,output.mean(): -0.204026, rec_loss:0.160504
scale 0:[275/1000], errG: 0.296220 ,output.mean(): -0.296220, rec_loss:0.141994
scale 0:[300/1000], errG: 0.255737 ,output.mean(): -0.255737, rec_loss:0.142336
scale 0:[325/1000], errG: 0.335068 ,output.mean(): -0.335068, rec_loss:0.127221
scale 0:[350/1000], errG: 0.352941 ,output.mean(): -0.352941, rec_loss:0.154193
scale 0:[375/1000], errG: 0.340559 ,output.mean(): -0.340559, rec_loss:0.146498
scale 0:[400/1000], errG: 0.402856 ,output.mean(): -0.402856, rec_loss:0.116606
scale 0:[425/1000], errG: 0.429720 ,output.mean(): -0.429720, rec_loss:0.126431
