seed-> 7725
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=7725, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='200_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='08:45:47')
alpha:20
scale 0:[0/1000], errG: 0.043116 ,output.mean(): -0.043116, rec_loss:8.845078
scale 0:[25/1000], errG: 0.016287 ,output.mean(): -0.016287, rec_loss:0.075079
scale 0:[50/1000], errG: -0.026143 ,output.mean(): 0.026143, rec_loss:0.070436
scale 0:[75/1000], errG: 0.003771 ,output.mean(): -0.003771, rec_loss:0.076070
scale 0:[100/1000], errG: 0.023462 ,output.mean(): -0.023462, rec_loss:0.069049
scale 0:[125/1000], errG: -0.022299 ,output.mean(): 0.022299, rec_loss:0.061629
scale 0:[150/1000], errG: 0.037817 ,output.mean(): -0.037817, rec_loss:0.065067
scale 0:[175/1000], errG: -0.001655 ,output.mean(): 0.001655, rec_loss:0.062379
scale 0:[200/1000], errG: 0.033908 ,output.mean(): -0.033908, rec_loss:0.056297
scale 0:[225/1000], errG: 0.060610 ,output.mean(): -0.060610, rec_loss:0.065506
scale 0:[250/1000], errG: 0.053781 ,output.mean(): -0.053781, rec_loss:0.063683
scale 0:[275/1000], errG: 0.011973 ,output.mean(): -0.011973, rec_loss:0.059523
scale 0:[300/1000], errG: 0.048143 ,output.mean(): -0.048143, rec_loss:0.060221
scale 0:[325/1000], errG: 0.017386 ,output.mean(): -0.017386, rec_loss:0.061373
scale 0:[350/1000], errG: 0.059573 ,output.mean(): -0.059573, rec_loss:0.072857
scale 0:[375/1000], errG: 0.077160 ,output.mean(): -0.077160, rec_loss:0.065587
scale 0:[400/1000], errG: 0.037059 ,output.mean(): -0.037059, rec_loss:0.059618
scale 0:[425/1000], errG: 0.074949 ,output.mean(): -0.074949, rec_loss:0.066425
scale 0:[450/1000], errG: 0.103522 ,output.mean(): -0.103522, rec_loss:0.060835
scale 0:[475/1000], errG: 0.038632 ,output.mean(): -0.038632, rec_loss:0.059480
scale 0:[500/1000], errG: 0.044733 ,output.mean(): -0.044733, rec_loss:0.063674
scale 0:[525/1000], errG: 0.065155 ,output.mean(): -0.065155, rec_loss:0.057594
scale 0:[550/1000], errG: 0.043570 ,output.mean(): -0.043570, rec_loss:0.058617
scale 0:[575/1000], errG: 0.042558 ,output.mean(): -0.042558, rec_loss:0.057436
scale 0:[600/1000], errG: 0.085360 ,output.mean(): -0.085360, rec_loss:0.060570
scale 0:[625/1000], errG: 0.125555 ,output.mean(): -0.125555, rec_loss:0.055546
scale 0:[650/1000], errG: 0.029688 ,output.mean(): -0.029688, rec_loss:0.058632
scale 0:[675/1000], errG: 0.024640 ,output.mean(): -0.024640, rec_loss:0.059330
scale 0:[700/1000], errG: -0.003949 ,output.mean(): 0.003949, rec_loss:0.060756
scale 0:[725/1000], errG: 0.040193 ,output.mean(): -0.040193, rec_loss:0.063284
scale 0:[750/1000], errG: 0.047156 ,output.mean(): -0.047156, rec_loss:0.059411
scale 0:[775/1000], errG: 0.067823 ,output.mean(): -0.067823, rec_loss:0.055828
scale 0:[800/1000], errG: 0.043171 ,output.mean(): -0.043171, rec_loss:0.059649
scale 0:[825/1000], errG: 0.000928 ,output.mean(): -0.000928, rec_loss:0.053989
scale 0:[850/1000], errG: -0.010769 ,output.mean(): 0.010769, rec_loss:0.055147
scale 0:[875/1000], errG: 0.036647 ,output.mean(): -0.036647, rec_loss:0.059341
scale 0:[900/1000], errG: 0.021252 ,output.mean(): -0.021252, rec_loss:0.058467
scale 0:[925/1000], errG: 0.091289 ,output.mean(): -0.091289, rec_loss:0.057042
scale 0:[950/1000], errG: 0.054417 ,output.mean(): -0.054417, rec_loss:0.056726
scale 0:[975/1000], errG: 0.045883 ,output.mean(): -0.045883, rec_loss:0.063330
scale 0:[999/1000], errG: 0.065970 ,output.mean(): -0.065970, rec_loss:0.054223
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: 0.113523 ,output.mean(): -0.113523, rec_loss:6.314181
scale 1:[25/1000], errG: 0.055855 ,output.mean(): -0.055855, rec_loss:0.085352
scale 1:[50/1000], errG: 0.098311 ,output.mean(): -0.098311, rec_loss:0.084182
scale 1:[75/1000], errG: 0.168486 ,output.mean(): -0.168486, rec_loss:0.075958
scale 1:[100/1000], errG: 0.193887 ,output.mean(): -0.193887, rec_loss:0.076130
scale 1:[125/1000], errG: 0.185201 ,output.mean(): -0.185201, rec_loss:0.071066
scale 1:[150/1000], errG: 0.184363 ,output.mean(): -0.184363, rec_loss:0.064799
scale 1:[175/1000], errG: 0.157654 ,output.mean(): -0.157654, rec_loss:0.063652
