seed-> 6219
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6219, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='08:05:06')
alpha:20
scale 1:[500/1000], errG: -0.605124 ,output.mean(): 0.605124, rec_loss:0.028661
scale 1:[525/1000], errG: -0.452518 ,output.mean(): 0.452518, rec_loss:0.031488
scale 1:[550/1000], errG: -0.512812 ,output.mean(): 0.512812, rec_loss:0.029227
scale 1:[575/1000], errG: -0.560761 ,output.mean(): 0.560761, rec_loss:0.025161
scale 1:[600/1000], errG: -0.599890 ,output.mean(): 0.599890, rec_loss:0.025983
scale 1:[625/1000], errG: -0.552569 ,output.mean(): 0.552569, rec_loss:0.020576
scale 1:[650/1000], errG: -0.740940 ,output.mean(): 0.740940, rec_loss:0.020877
scale 1:[675/1000], errG: -0.645394 ,output.mean(): 0.645394, rec_loss:0.034656
scale 1:[700/1000], errG: -0.675919 ,output.mean(): 0.675919, rec_loss:0.032418
scale 1:[725/1000], errG: -0.611818 ,output.mean(): 0.611818, rec_loss:0.027109
scale 1:[750/1000], errG: -0.732391 ,output.mean(): 0.732391, rec_loss:0.029358
scale 1:[775/1000], errG: -0.804003 ,output.mean(): 0.804003, rec_loss:0.022724
scale 1:[800/1000], errG: -0.666692 ,output.mean(): 0.666692, rec_loss:0.018266
scale 1:[825/1000], errG: -0.747114 ,output.mean(): 0.747114, rec_loss:0.025308
scale 1:[850/1000], errG: -0.756179 ,output.mean(): 0.756179, rec_loss:0.020678
scale 1:[875/1000], errG: -0.803981 ,output.mean(): 0.803981, rec_loss:0.017970
scale 1:[900/1000], errG: -0.747423 ,output.mean(): 0.747423, rec_loss:0.020634
scale 1:[925/1000], errG: -0.843127 ,output.mean(): 0.843127, rec_loss:0.027887
scale 1:[950/1000], errG: -0.765970 ,output.mean(): 0.765970, rec_loss:0.023670
scale 1:[975/1000], errG: -0.919896 ,output.mean(): 0.919896, rec_loss:0.020186
scale 1:[999/1000], errG: -0.974668 ,output.mean(): 0.974668, rec_loss:0.021774
Scale: 1, realD_loss: 0.397087 
alpha:20
scale 2:[0/1000], errG: -0.912301 ,output.mean(): 0.912301, rec_loss:0.528921
scale 2:[25/1000], errG: -0.431288 ,output.mean(): 0.431288, rec_loss:0.065273
scale 2:[50/1000], errG: -0.453807 ,output.mean(): 0.453807, rec_loss:0.039397
scale 2:[75/1000], errG: -0.454523 ,output.mean(): 0.454523, rec_loss:0.032060
scale 2:[100/1000], errG: -0.454675 ,output.mean(): 0.454675, rec_loss:0.021529
scale 2:[125/1000], errG: -0.493329 ,output.mean(): 0.493329, rec_loss:0.017104
scale 2:[150/1000], errG: -0.523557 ,output.mean(): 0.523557, rec_loss:0.012948
scale 2:[175/1000], errG: -0.527217 ,output.mean(): 0.527217, rec_loss:0.011585
scale 2:[200/1000], errG: -0.580213 ,output.mean(): 0.580213, rec_loss:0.011570
scale 2:[225/1000], errG: -0.553259 ,output.mean(): 0.553259, rec_loss:0.011847
scale 2:[250/1000], errG: -0.587376 ,output.mean(): 0.587376, rec_loss:0.011016
scale 2:[275/1000], errG: -0.575308 ,output.mean(): 0.575308, rec_loss:0.009592
scale 2:[300/1000], errG: -0.579720 ,output.mean(): 0.579720, rec_loss:0.011559
scale 2:[325/1000], errG: -0.606957 ,output.mean(): 0.606957, rec_loss:0.009394
scale 2:[350/1000], errG: -0.643743 ,output.mean(): 0.643743, rec_loss:0.008193
scale 2:[375/1000], errG: -0.627815 ,output.mean(): 0.627815, rec_loss:0.009700
scale 2:[400/1000], errG: -0.597903 ,output.mean(): 0.597903, rec_loss:0.011380
scale 2:[425/1000], errG: -0.643645 ,output.mean(): 0.643645, rec_loss:0.010941
scale 2:[450/1000], errG: -0.613731 ,output.mean(): 0.613731, rec_loss:0.008854
scale 2:[475/1000], errG: -0.617635 ,output.mean(): 0.617635, rec_loss:0.007642
scale 2:[500/1000], errG: -0.577749 ,output.mean(): 0.577749, rec_loss:0.010092
scale 2:[525/1000], errG: -0.583490 ,output.mean(): 0.583490, rec_loss:0.011784
scale 2:[550/1000], errG: -0.625770 ,output.mean(): 0.625770, rec_loss:0.013435
scale 2:[575/1000], errG: -0.456920 ,output.mean(): 0.456920, rec_loss:0.015579
scale 2:[600/1000], errG: -0.539621 ,output.mean(): 0.539621, rec_loss:0.009976
scale 2:[625/1000], errG: -0.510360 ,output.mean(): 0.510360, rec_loss:0.008172
scale 2:[650/1000], errG: -0.537038 ,output.mean(): 0.537038, rec_loss:0.007177
scale 2:[675/1000], errG: -0.534452 ,output.mean(): 0.534452, rec_loss:0.011638
scale 2:[700/1000], errG: -0.509085 ,output.mean(): 0.509085, rec_loss:0.011743
scale 2:[725/1000], errG: -0.546833 ,output.mean(): 0.546833, rec_loss:0.006902
scale 2:[750/1000], errG: -0.529211 ,output.mean(): 0.529211, rec_loss:0.008185
scale 2:[775/1000], errG: -0.515168 ,output.mean(): 0.515168, rec_loss:0.009094
scale 2:[800/1000], errG: -0.491322 ,output.mean(): 0.491322, rec_loss:0.015966
scale 2:[825/1000], errG: -0.508408 ,output.mean(): 0.508408, rec_loss:0.009977
scale 2:[850/1000], errG: -0.568506 ,output.mean(): 0.568506, rec_loss:0.010936
scale 2:[875/1000], errG: -0.539468 ,output.mean(): 0.539468, rec_loss:0.020556
scale 2:[900/1000], errG: -0.485295 ,output.mean(): 0.485295, rec_loss:0.011941
scale 2:[925/1000], errG: -0.445026 ,output.mean(): 0.445026, rec_loss:0.008601
scale 2:[950/1000], errG: -0.494522 ,output.mean(): 0.494522, rec_loss:0.008462
scale 2:[975/1000], errG: -0.465024 ,output.mean(): 0.465024, rec_loss:0.019798
scale 2:[999/1000], errG: -0.532553 ,output.mean(): 0.532553, rec_loss:0.012888
Scale: 2, realD_loss: 0.728571 
alpha:20
scale 3:[0/1000], errG: -0.420106 ,output.mean(): 0.420106, rec_loss:0.223685
scale 3:[25/1000], errG: -0.310461 ,output.mean(): 0.310461, rec_loss:0.046158
scale 3:[50/1000], errG: -0.289217 ,output.mean(): 0.289217, rec_loss:0.025161
scale 3:[75/1000], errG: -0.251480 ,output.mean(): 0.251480, rec_loss:0.016039
scale 3:[100/1000], errG: -0.130167 ,output.mean(): 0.130167, rec_loss:0.013695
scale 3:[125/1000], errG: -0.075622 ,output.mean(): 0.075622, rec_loss:0.008609
scale 3:[150/1000], errG: -0.112657 ,output.mean(): 0.112657, rec_loss:0.010788
scale 3:[175/1000], errG: -0.101342 ,output.mean(): 0.101342, rec_loss:0.006921
scale 3:[200/1000], errG: 0.024173 ,output.mean(): -0.024173, rec_loss:0.011345
scale 3:[225/1000], errG: 0.300001 ,output.mean(): -0.300001, rec_loss:0.006348
scale 3:[250/1000], errG: 0.533078 ,output.mean(): -0.533078, rec_loss:0.007394
scale 3:[275/1000], errG: 0.688047 ,output.mean(): -0.688047, rec_loss:0.005690
scale 3:[300/1000], errG: 0.815241 ,output.mean(): -0.815241, rec_loss:0.011093
scale 3:[325/1000], errG: 0.924293 ,output.mean(): -0.924293, rec_loss:0.008787
