seed-> 2738
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=2738, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='71_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='10:27:01')
alpha:20
scale 0:[0/1000], errG: 0.207033 ,output.mean(): -0.207033, rec_loss:7.848200
scale 0:[25/1000], errG: 0.066249 ,output.mean(): -0.066249, rec_loss:0.083992
scale 0:[50/1000], errG: 0.045334 ,output.mean(): -0.045334, rec_loss:0.082762
scale 0:[75/1000], errG: 0.056460 ,output.mean(): -0.056460, rec_loss:0.058907
scale 0:[100/1000], errG: 0.106023 ,output.mean(): -0.106023, rec_loss:0.060634
scale 0:[125/1000], errG: 0.101509 ,output.mean(): -0.101509, rec_loss:0.070049
scale 0:[150/1000], errG: 0.045150 ,output.mean(): -0.045150, rec_loss:0.051227
scale 0:[175/1000], errG: 0.050812 ,output.mean(): -0.050812, rec_loss:0.056690
scale 0:[200/1000], errG: 0.083631 ,output.mean(): -0.083631, rec_loss:0.049784
scale 0:[225/1000], errG: 0.142127 ,output.mean(): -0.142127, rec_loss:0.052353
scale 0:[250/1000], errG: 0.118990 ,output.mean(): -0.118990, rec_loss:0.067819
scale 0:[275/1000], errG: 0.120430 ,output.mean(): -0.120430, rec_loss:0.054837
scale 0:[300/1000], errG: 0.154858 ,output.mean(): -0.154858, rec_loss:0.093639
scale 0:[325/1000], errG: 0.043657 ,output.mean(): -0.043657, rec_loss:0.050788
scale 0:[350/1000], errG: 0.071356 ,output.mean(): -0.071356, rec_loss:0.051380
scale 0:[375/1000], errG: 0.118811 ,output.mean(): -0.118811, rec_loss:0.046853
scale 0:[400/1000], errG: 0.008607 ,output.mean(): -0.008607, rec_loss:0.070531
scale 0:[425/1000], errG: 0.155772 ,output.mean(): -0.155772, rec_loss:0.056264
scale 0:[450/1000], errG: 0.013301 ,output.mean(): -0.013301, rec_loss:0.054633
scale 0:[475/1000], errG: 0.078670 ,output.mean(): -0.078670, rec_loss:0.065943
scale 0:[500/1000], errG: 0.047909 ,output.mean(): -0.047909, rec_loss:0.050170
scale 0:[525/1000], errG: -0.011195 ,output.mean(): 0.011195, rec_loss:0.049132
scale 0:[550/1000], errG: 0.049242 ,output.mean(): -0.049242, rec_loss:0.064319
scale 0:[575/1000], errG: -0.006047 ,output.mean(): 0.006047, rec_loss:0.047080
scale 0:[600/1000], errG: 0.047449 ,output.mean(): -0.047449, rec_loss:0.056871
scale 0:[625/1000], errG: 0.198587 ,output.mean(): -0.198587, rec_loss:0.082440
scale 0:[650/1000], errG: 0.041402 ,output.mean(): -0.041402, rec_loss:0.074728
scale 0:[675/1000], errG: -0.066470 ,output.mean(): 0.066470, rec_loss:0.047917
scale 0:[700/1000], errG: 0.096764 ,output.mean(): -0.096764, rec_loss:0.049351
scale 0:[725/1000], errG: 0.084387 ,output.mean(): -0.084387, rec_loss:0.057257
scale 0:[750/1000], errG: -0.030423 ,output.mean(): 0.030423, rec_loss:0.058954
scale 0:[775/1000], errG: -0.003978 ,output.mean(): 0.003978, rec_loss:0.042693
scale 0:[800/1000], errG: 0.055603 ,output.mean(): -0.055603, rec_loss:0.054791
scale 0:[825/1000], errG: 0.238516 ,output.mean(): -0.238516, rec_loss:0.057171
scale 0:[850/1000], errG: 0.015516 ,output.mean(): -0.015516, rec_loss:0.041524
scale 0:[875/1000], errG: 0.050599 ,output.mean(): -0.050599, rec_loss:0.045347
scale 0:[900/1000], errG: -0.049259 ,output.mean(): 0.049259, rec_loss:0.057104
scale 0:[925/1000], errG: 0.030040 ,output.mean(): -0.030040, rec_loss:0.039568
scale 0:[950/1000], errG: -0.016082 ,output.mean(): 0.016082, rec_loss:0.049001
scale 0:[975/1000], errG: 0.027504 ,output.mean(): -0.027504, rec_loss:0.047160
scale 0:[999/1000], errG: -0.010074 ,output.mean(): 0.010074, rec_loss:0.049674
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: 0.285741 ,output.mean(): -0.285741, rec_loss:7.766233
scale 1:[25/1000], errG: 0.047887 ,output.mean(): -0.047887, rec_loss:0.055719
scale 1:[50/1000], errG: 0.033029 ,output.mean(): -0.033029, rec_loss:0.056826
scale 1:[75/1000], errG: 0.083297 ,output.mean(): -0.083297, rec_loss:0.053930
scale 1:[100/1000], errG: -0.039798 ,output.mean(): 0.039798, rec_loss:0.055012
scale 1:[125/1000], errG: -0.029314 ,output.mean(): 0.029314, rec_loss:0.046639
scale 1:[150/1000], errG: 0.019566 ,output.mean(): -0.019566, rec_loss:0.046535
scale 1:[175/1000], errG: -0.067483 ,output.mean(): 0.067483, rec_loss:0.039194
scale 1:[200/1000], errG: -0.075034 ,output.mean(): 0.075034, rec_loss:0.036300
scale 1:[225/1000], errG: -0.029199 ,output.mean(): 0.029199, rec_loss:0.030174
scale 1:[250/1000], errG: -0.077527 ,output.mean(): 0.077527, rec_loss:0.026557
scale 1:[275/1000], errG: -0.085624 ,output.mean(): 0.085624, rec_loss:0.023641
scale 1:[300/1000], errG: -0.168156 ,output.mean(): 0.168156, rec_loss:0.022337
scale 1:[325/1000], errG: -0.241573 ,output.mean(): 0.241573, rec_loss:0.022349
scale 1:[350/1000], errG: -0.271615 ,output.mean(): 0.271615, rec_loss:0.020746
scale 1:[375/1000], errG: -0.278294 ,output.mean(): 0.278294, rec_loss:0.022709
scale 1:[400/1000], errG: -0.292238 ,output.mean(): 0.292238, rec_loss:0.021585
scale 1:[425/1000], errG: -0.331581 ,output.mean(): 0.331581, rec_loss:0.017644
scale 1:[450/1000], errG: -0.352391 ,output.mean(): 0.352391, rec_loss:0.019568
scale 1:[475/1000], errG: -0.332143 ,output.mean(): 0.332143, rec_loss:0.013543
scale 1:[500/1000], errG: -0.320790 ,output.mean(): 0.320790, rec_loss:0.013339
scale 1:[525/1000], errG: -0.339886 ,output.mean(): 0.339886, rec_loss:0.013130
scale 1:[550/1000], errG: -0.354499 ,output.mean(): 0.354499, rec_loss:0.011155
scale 1:[575/1000], errG: -0.401233 ,output.mean(): 0.401233, rec_loss:0.011952
scale 1:[600/1000], errG: -0.347904 ,output.mean(): 0.347904, rec_loss:0.012230
scale 1:[625/1000], errG: -0.422381 ,output.mean(): 0.422381, rec_loss:0.009511
scale 1:[650/1000], errG: -0.376605 ,output.mean(): 0.376605, rec_loss:0.009356
scale 1:[675/1000], errG: -0.436204 ,output.mean(): 0.436204, rec_loss:0.009666
scale 1:[700/1000], errG: -0.363814 ,output.mean(): 0.363814, rec_loss:0.010511
scale 1:[725/1000], errG: -0.414479 ,output.mean(): 0.414479, rec_loss:0.009468
scale 1:[750/1000], errG: -0.431228 ,output.mean(): 0.431228, rec_loss:0.009315
scale 1:[775/1000], errG: -0.441800 ,output.mean(): 0.441800, rec_loss:0.007044
scale 1:[800/1000], errG: -0.450351 ,output.mean(): 0.450351, rec_loss:0.007545
scale 1:[825/1000], errG: -0.436548 ,output.mean(): 0.436548, rec_loss:0.007149
scale 1:[850/1000], errG: -0.492698 ,output.mean(): 0.492698, rec_loss:0.008844
scale 1:[875/1000], errG: -0.434518 ,output.mean(): 0.434518, rec_loss:0.006908
scale 1:[900/1000], errG: -0.380419 ,output.mean(): 0.380419, rec_loss:0.007214
